Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2017-05-22,G (Feb 2018),0.0,17.1,18.0,0.0,17.55,0.0,0,0,0
2017-05-23,G (Feb 2018),17.1,17.43,17.1,17.43,17.425,-0.125,83,0,70
2017-05-24,G (Feb 2018),17.45,17.6,17.41,17.45,17.4,-0.025,90,0,148
2017-05-25,G (Feb 2018),17.45,17.55,17.45,17.54,17.5,0.1,88,0,202
2017-05-26,G (Feb 2018),17.63,17.63,17.5,17.54,17.475,-0.025,98,0,260
2017-05-30,G (Feb 2018),17.49,17.6,17.4,17.4,17.375,-0.1,29,0,271
2017-05-31,G (Feb 2018),17.3,17.4,17.3,17.3,17.375,0.0,30,0,297
2017-06-01,G (Feb 2018),17.3,17.38,17.3,17.35,17.325,-0.05,36,0,319
2017-06-02,G (Feb 2018),17.35,17.4,17.34,17.35,17.325,0.0,59,0,372
2017-06-05,G (Feb 2018),17.3,17.3,17.23,17.28,17.25,-0.075,47,0,395
2017-06-06,G (Feb 2018),17.3,17.41,17.3,17.4,17.375,0.125,158,0,496
2017-06-07,G (Feb 2018),17.45,17.55,17.38,17.45,17.425,0.05,104,0,546
2017-06-08,G (Feb 2018),17.45,17.45,17.3,17.33,17.325,-0.1,63,0,568
2017-06-09,G (Feb 2018),17.3,17.56,17.25,17.35,17.375,0.05,48,0,565
2017-06-12,G (Feb 2018),17.35,17.5,17.3,17.44,17.375,0.0,28,0,576
2017-06-13,G (Feb 2018),17.35,17.37,17.23,17.23,17.225,-0.15,174,0,559
2017-06-14,G (Feb 2018),17.2,17.25,17.2,17.25,17.2,-0.025,10,0,556
2017-06-15,G (Feb 2018),17.25,17.3,17.2,17.25,17.275,0.075,17,0,563
2017-06-16,G (Feb 2018),17.2,17.25,17.12,17.12,17.15,-0.125,89,0,591
2017-06-19,G (Feb 2018),17.1,17.1,16.9,16.92,17.025,-0.125,282,0,697
2017-06-20,G (Feb 2018),16.95,17.13,16.9,16.96,16.95,-0.075,100,0,739
2017-06-21,G (Feb 2018),17.0,17.0,16.85,16.97,16.95,0.0,292,0,873
2017-06-22,G (Feb 2018),16.95,17.0,16.88,16.97,16.95,0.0,590,0,1157
2017-06-23,G (Feb 2018),16.95,17.0,16.85,16.87,16.875,-0.075,361,0,1322
2017-06-26,G (Feb 2018),16.8,16.9,16.65,16.65,16.675,-0.2,421,0,1526
2017-06-27,G (Feb 2018),16.7,16.82,16.6,16.67,16.675,0.0,395,0,1672
2017-06-28,G (Feb 2018),16.62,16.7,16.53,16.63,16.65,-0.025,374,0,1731
2017-06-29,G (Feb 2018),16.6,17.23,16.57,16.7,16.675,0.025,771,0,1931
2017-06-30,G (Feb 2018),16.7,16.8,16.6,16.68,16.7,0.025,323,0,2044
2017-07-03,G (Feb 2018),16.6,16.87,16.43,16.83,16.85,0.15,691,0,2327
2017-07-05,G (Feb 2018),16.86,16.89,16.68,16.77,16.775,-0.075,862,0,2740
2017-07-06,G (Feb 2018),16.8,17.07,16.7,16.96,16.95,0.175,1125,0,3111
2017-07-07,G (Feb 2018),16.9,16.98,16.85,16.92,16.925,-0.025,907,0,3602
2017-07-10,G (Feb 2018),16.85,16.91,16.65,16.69,16.675,-0.25,384,0,3793
2017-07-11,G (Feb 2018),16.65,16.89,16.57,16.57,16.575,-0.1,736,0,4123
2017-07-12,G (Feb 2018),16.55,16.55,16.35,16.39,16.4,-0.175,1176,0,4821
2017-07-13,G (Feb 2018),16.38,16.4,16.23,16.3,16.325,-0.075,616,0,5067
2017-07-14,G (Feb 2018),16.3,16.33,16.0,16.0,16.025,-0.3,698,0,5325
2017-07-17,G (Feb 2018),16.04,16.06,15.95,16.02,16.05,0.025,1087,0,5886
2017-07-18,G (Feb 2018),16.03,16.2,16.02,16.09,16.075,0.025,1237,0,6529
2017-07-19,G (Feb 2018),16.05,16.15,15.92,16.09,16.075,0.0,2862,0,7482
2017-07-20,G (Feb 2018),16.05,16.15,16.02,16.05,16.025,-0.05,1839,0,8164
2017-07-21,G (Feb 2018),16.1,16.2,15.94,15.95,15.925,-0.1,3563,0,9588
2017-07-24,G (Feb 2018),16.0,16.0,15.72,15.73,15.725,-0.2,1816,0,9931
2017-07-25,G (Feb 2018),15.76,15.76,15.6,15.69,15.675,-0.05,2303,0,10781
2017-07-26,G (Feb 2018),15.7,15.75,15.48,15.58,15.575,-0.1,3102,0,11273
2017-07-27,G (Feb 2018),15.6,15.79,15.4,15.43,15.425,-0.15,4345,0,11604
2017-07-28,G (Feb 2018),15.45,15.6,15.4,15.45,15.425,0.0,3369,0,11727
2017-07-31,G (Feb 2018),15.5,15.55,15.38,15.4,15.375,-0.05,2286,0,11818
2017-08-01,G (Feb 2018),15.4,15.41,15.15,15.15,15.175,-0.2,2189,0,12219
2017-08-02,G (Feb 2018),15.15,15.4,15.05,15.31,15.325,0.15,5452,0,13727
2017-08-03,G (Feb 2018),15.35,15.55,15.33,15.44,15.425,0.1,3874,0,14897
2017-08-04,G (Feb 2018),15.45,15.65,15.4,15.58,15.6,0.175,4412,0,16414
2017-08-07,G (Feb 2018),15.6,15.62,15.5,15.55,15.525,-0.075,1899,0,17213
2017-08-08,G (Feb 2018),15.6,15.9,15.5,15.78,15.775,0.25,4376,0,18235
2017-08-09,G (Feb 2018),15.75,16.05,15.67,15.87,15.875,0.1,4701,0,18745
2017-08-10,G (Feb 2018),15.88,16.72,15.85,16.72,16.675,0.8,5732,0,19220
2017-08-11,G (Feb 2018),16.65,16.93,16.25,16.91,16.925,0.25,5722,0,19945
2017-08-14,G (Feb 2018),16.86,16.86,15.84,15.84,15.825,-1.1,5302,0,21514
2017-08-15,G (Feb 2018),15.85,15.96,15.62,15.95,15.925,0.1,3253,0,22148
2017-08-16,G (Feb 2018),15.9,15.93,15.65,15.79,15.825,-0.1,5030,0,22776
2017-08-17,G (Feb 2018),15.85,16.67,15.75,16.39,16.375,0.55,9734,0,24209
2017-08-18,G (Feb 2018),16.4,16.58,16.05,16.52,16.525,0.15,5722,0,24127
2017-08-21,G (Feb 2018),16.5,16.58,16.2,16.22,16.225,-0.3,3099,0,24371
2017-08-22,G (Feb 2018),16.2,16.23,15.68,15.68,15.675,-0.55,2995,0,24402
2017-08-23,G (Feb 2018),15.7,16.05,15.63,16.03,16.025,0.35,3515,0,24462
2017-08-24,G (Feb 2018),16.05,16.18,15.78,15.98,15.975,-0.05,3268,0,24431
2017-08-25,G (Feb 2018),15.95,16.08,15.85,15.91,15.95,-0.025,1853,0,24247
2017-08-28,G (Feb 2018),15.92,16.1,15.82,15.87,15.875,-0.075,2611,0,23772
2017-08-29,G (Feb 2018),15.86,16.51,15.84,15.95,15.975,0.1,3123,0,23823
2017-08-30,G (Feb 2018),15.97,16.05,15.85,16.0,16.025,0.05,1230,0,23727
2017-08-31,G (Feb 2018),16.05,16.1,15.8,15.84,15.825,-0.2,2693,0,23799
2017-09-01,G (Feb 2018),15.83,15.9,15.75,15.85,15.825,0.0,2571,0,23870
2017-09-05,G (Feb 2018),15.9,17.35,15.9,15.95,15.925,0.1,4490,0,24317
2017-09-06,G (Feb 2018),15.93,16.25,15.9,16.2,16.225,0.3,4025,0,25244
2017-09-07,G (Feb 2018),16.24,16.35,16.08,16.19,16.175,-0.05,5936,0,25734
2017-09-08,G (Feb 2018),16.19,16.45,16.19,16.34,16.325,0.15,2827,0,25779
