Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2019-06-24,H (Mar 2020),0.0,0.0,0.0,0.0,17.7,0.0,0,0,0
2019-06-25,H (Mar 2020),0.0,17.3,18.85,0.0,18.075,0.375,0,0,0
2019-06-26,H (Mar 2020),0.0,17.25,18.4,0.0,17.8,-0.275,0,0,0
2019-06-27,H (Mar 2020),0.0,17.15,18.0,0.0,17.575,-0.225,0,0,0
2019-06-28,H (Mar 2020),0.0,17.15,18.25,0.0,17.7,0.125,0,0,0
2019-07-01,H (Mar 2020),0.0,17.2,18.2,0.0,17.7,0.0,0,0,0
2019-07-02,H (Mar 2020),0.0,17.2,17.6,0.0,17.4,-0.3,0,0,0
2019-07-03,H (Mar 2020),0.0,17.2,17.6,0.0,17.4,0.0,0,0,0
2019-07-05,H (Mar 2020),0.0,17.25,17.3,0.0,17.3,-0.1,0,0,0
2019-07-08,H (Mar 2020),17.32,17.4,17.26,17.26,17.35,0.05,24,0,19
2019-07-09,H (Mar 2020),17.42,17.45,17.37,17.4,17.375,0.025,29,0,46
2019-07-10,H (Mar 2020),17.27,17.37,17.24,17.33,17.275,-0.1,38,0,78
2019-07-11,H (Mar 2020),17.25,17.32,17.15,17.2,17.25,-0.025,17,0,90
2019-07-12,H (Mar 2020),17.25,17.26,17.2,17.2,17.25,0.0,13,0,95
2019-07-15,H (Mar 2020),17.29,17.29,17.17,17.2,17.25,0.0,33,0,118
2019-07-16,H (Mar 2020),17.23,17.45,17.23,17.43,17.425,0.175,168,0,279
2019-07-17,H (Mar 2020),17.45,17.6,17.25,17.6,17.575,0.15,341,0,548
2019-07-18,H (Mar 2020),17.65,17.65,17.35,17.41,17.45,-0.125,206,0,657
2019-07-19,H (Mar 2020),17.4,17.65,17.4,17.65,17.575,0.125,200,0,710
2019-07-22,H (Mar 2020),17.6,17.68,17.46,17.54,17.525,-0.05,62,0,722
2019-07-23,H (Mar 2020),17.5,17.5,17.25,17.3,17.275,-0.25,192,0,769
2019-07-24,H (Mar 2020),17.31,17.31,17.02,17.05,17.05,-0.225,330,0,938
2019-07-25,H (Mar 2020),17.05,17.3,17.0,17.27,17.275,0.225,266,0,973
2019-07-26,H (Mar 2020),17.3,17.3,17.0,17.15,17.125,-0.15,355,0,1077
2019-07-29,H (Mar 2020),17.2,17.22,17.1,17.11,17.125,0.0,89,0,1110
2019-07-30,H (Mar 2020),17.1,17.45,17.1,17.35,17.35,0.225,476,0,1433
2019-07-31,H (Mar 2020),17.3,17.75,17.17,17.7,17.675,0.325,540,0,1663
2019-08-01,H (Mar 2020),17.73,17.96,17.3,17.92,17.95,0.275,1168,0,1659
2019-08-02,H (Mar 2020),17.9,18.1,17.75,17.82,17.875,-0.075,944,0,1872
2019-08-05,H (Mar 2020),17.9,18.65,17.85,18.65,18.55,0.675,661,0,2263
2019-08-06,H (Mar 2020),18.75,19.05,18.08,18.4,18.375,-0.175,1243,0,2397
2019-08-07,H (Mar 2020),18.45,18.75,18.21,18.29,18.3,-0.075,1121,0,2579
2019-08-08,H (Mar 2020),18.35,18.35,17.72,17.75,17.775,-0.525,523,0,2841
2019-08-09,H (Mar 2020),17.85,18.1,17.75,17.95,17.95,0.175,282,0,2786
2019-08-12,H (Mar 2020),17.95,18.62,17.85,18.62,18.6,0.65,498,0,3012
2019-08-13,H (Mar 2020),18.55,18.7,18.02,18.05,18.025,-0.575,616,0,3022
2019-08-14,H (Mar 2020),18.1,19.18,18.05,18.95,18.975,0.95,686,0,3187
2019-08-15,H (Mar 2020),18.91,19.25,18.77,18.84,18.875,-0.1,975,0,3467
2019-08-16,H (Mar 2020),18.8,18.8,18.45,18.45,18.5,-0.375,336,0,3404
2019-08-19,H (Mar 2020),18.4,18.4,18.07,18.12,18.125,-0.375,971,0,3381
2019-08-20,H (Mar 2020),18.12,18.55,18.07,18.55,18.55,0.425,726,0,3551
2019-08-21,H (Mar 2020),18.55,18.55,18.19,18.25,18.3,-0.25,974,0,3856
2019-08-22,H (Mar 2020),18.25,18.52,18.17,18.37,18.425,0.125,1436,0,4198
2019-08-23,H (Mar 2020),18.3,19.5,18.27,19.2,19.225,0.8,1983,0,4830
2019-08-26,H (Mar 2020),19.4,19.63,18.9,19.15,19.125,-0.1,2273,0,5200
2019-08-27,H (Mar 2020),19.15,19.55,18.99,19.35,19.425,0.3,1627,0,5312
2019-08-28,H (Mar 2020),19.35,19.68,19.17,19.25,19.175,-0.25,1237,0,5494
