CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/26/2017,U (Sep 18),0.00,16.20,16.75,0.00,16.4250,16.42,0,0,0
12/27/2017,U (Sep 18),16.20,16.26,16.13,16.26,16.2750,-0.15,28,0,24
12/28/2017,U (Sep 18),16.20,16.25,16.20,16.25,16.2500,-0.02,11,0,35
12/29/2017,U (Sep 18),16.26,16.26,16.00,16.17,16.2000,-0.05,162,0,187
01/02/2018,U (Sep 18),16.10,16.13,15.95,16.08,16.1000,-0.10,66,0,226
01/03/2018,U (Sep 18),16.00,16.00,15.88,15.94,15.9250,-0.18,207,0,412
01/04/2018,U (Sep 18),0.00,15.90,15.95,0.00,15.9250,0.00,0,0,412
01/05/2018,U (Sep 18),15.85,16.00,15.81,15.85,15.8000,-0.12,53,0,439
01/08/2018,U (Sep 18),15.85,15.85,15.72,15.74,15.7500,-0.05,46,0,483
01/09/2018,U (Sep 18),15.72,15.80,15.70,15.78,15.7750,0.02,75,0,547
01/10/2018,U (Sep 18),15.80,15.85,15.65,15.75,15.7000,-0.08,33,0,551
01/11/2018,U (Sep 18),15.60,15.65,15.52,15.52,15.5250,-0.18,250,0,723
01/12/2018,U (Sep 18),15.40,15.46,15.39,15.39,15.4500,-0.08,286,0,850
01/16/2018,U (Sep 18),15.38,15.91,15.38,15.88,15.8500,0.40,398,0,1087
01/17/2018,U (Sep 18),15.90,15.90,15.63,15.73,15.7000,-0.15,2051,0,2257
01/18/2018,U (Sep 18),15.65,15.88,15.48,15.63,15.6500,-0.05,1651,0,3155
01/19/2018,U (Sep 18),15.70,15.78,15.53,15.65,15.6500,0.00,425,0,3299
01/22/2018,U (Sep 18),15.69,15.78,15.51,15.53,15.5250,-0.12,561,0,3506
01/23/2018,U (Sep 18),15.50,15.78,15.48,15.71,15.7000,0.18,931,0,3709
01/24/2018,U (Sep 18),15.70,15.96,15.65,15.73,15.7500,0.05,1426,0,4296
01/25/2018,U (Sep 18),15.75,15.83,15.65,15.79,15.7750,0.02,517,0,4352
01/26/2018,U (Sep 18),15.78,15.80,15.65,15.70,15.7000,-0.08,705,0,4632
01/29/2018,U (Sep 18),15.75,16.07,15.75,16.00,16.0000,0.30,663,0,4663
01/30/2018,U (Sep 18),16.05,16.37,15.96,16.10,16.1250,0.12,1555,0,4941
01/31/2018,U (Sep 18),16.10,16.13,15.78,15.86,15.8750,-0.25,2405,0,5875
02/01/2018,U (Sep 18),15.85,16.00,15.66,15.78,15.7750,-0.10,1254,0,5970
02/02/2018,U (Sep 18),15.65,16.30,15.60,16.20,16.2250,0.45,1394,0,6308
02/05/2018,U (Sep 18),16.30,20.00,16.05,18.00,18.9250,2.70,2811,0,6757
02/06/2018,U (Sep 18),18.95,20.40,17.75,18.90,18.9000,-0.02,5113,0,7575
02/07/2018,U (Sep 18),18.60,18.65,17.40,18.00,18.0500,-0.85,2805,0,9086
02/08/2018,U (Sep 18),18.15,19.32,17.90,18.83,18.8750,0.82,2507,0,9639
02/09/2018,U (Sep 18),19.00,19.80,17.95,17.96,18.0250,-0.85,3556,0,9705
02/12/2018,U (Sep 18),18.10,18.37,17.73,18.13,18.1500,0.12,960,0,9809
02/13/2018,U (Sep 18),18.15,18.65,18.15,18.37,18.3250,0.18,1255,0,10177
02/14/2018,U (Sep 18),18.35,18.75,17.86,17.94,17.9250,-0.40,2922,0,11018
02/15/2018,U (Sep 18),17.95,18.00,17.53,17.55,17.5500,-0.38,2197,0,11059
02/16/2018,U (Sep 18),17.57,17.70,17.35,17.57,17.5750,0.02,2814,0,11178
02/20/2018,U (Sep 18),17.40,18.00,17.39,17.70,17.6750,0.10,2183,0,11626
02/21/2018,U (Sep 18),17.70,18.05,17.37,17.89,17.8750,0.20,2960,0,12080
02/22/2018,U (Sep 18),17.88,18.17,17.58,17.60,17.5750,-0.30,1308,0,12226
02/23/2018,U (Sep 18),17.62,17.70,17.08,17.10,17.1250,-0.45,1658,0,12348
