CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/22/2018,V (Oct 18),0.00,16.00,16.00,0.00,15.8500,15.85,0,0,0
01/23/2018,V (Oct 18),15.85,16.05,15.85,16.05,15.9750,0.12,46,0,42
01/24/2018,V (Oct 18),16.00,16.20,16.00,16.15,16.1000,0.12,124,0,156
01/25/2018,V (Oct 18),16.10,16.15,15.95,16.04,16.1250,0.02,6,0,159
01/26/2018,V (Oct 18),16.05,16.06,15.80,16.05,16.0500,-0.08,29,0,179
01/29/2018,V (Oct 18),16.12,16.35,16.12,16.29,16.2750,0.22,52,0,216
01/30/2018,V (Oct 18),16.40,16.65,16.35,16.39,16.4000,0.12,71,0,277
01/31/2018,V (Oct 18),16.15,16.31,15.10,16.31,16.2250,-0.18,17,0,287
02/01/2018,V (Oct 18),16.15,16.27,15.95,16.06,16.1000,-0.12,403,0,568
02/02/2018,V (Oct 18),16.20,16.60,16.20,16.60,16.4500,0.35,240,0,731
02/05/2018,V (Oct 18),16.75,19.80,16.33,19.25,18.9750,2.52,418,0,997
02/06/2018,V (Oct 18),19.00,29.95,18.00,18.00,18.6500,-0.32,247,0,1044
02/07/2018,V (Oct 18),18.65,18.65,17.60,18.19,18.1750,-0.48,57,0,1069
02/08/2018,V (Oct 18),18.15,19.33,18.01,18.89,18.9000,0.72,502,0,1288
02/09/2018,V (Oct 18),19.18,19.80,18.16,18.16,18.2000,-0.70,254,0,1404
02/12/2018,V (Oct 18),18.05,18.47,17.95,18.33,18.3750,0.18,108,0,1429
02/13/2018,V (Oct 18),18.34,18.85,18.34,18.45,18.6500,0.28,320,0,1512
02/14/2018,V (Oct 18),18.49,18.85,17.99,18.07,18.0750,-0.58,715,0,1806
02/15/2018,V (Oct 18),18.15,18.15,17.65,17.65,17.6750,-0.40,706,0,2197
02/16/2018,V (Oct 18),17.70,17.80,17.48,17.65,17.6500,-0.02,824,0,2713
02/20/2018,V (Oct 18),17.55,18.02,17.50,17.80,17.7750,0.12,457,0,2868
02/21/2018,V (Oct 18),17.75,18.10,17.48,17.98,17.9250,0.15,1535,0,3505
02/22/2018,V (Oct 18),18.05,18.20,17.69,17.72,17.6750,-0.25,425,0,3604
02/23/2018,V (Oct 18),17.75,17.80,17.23,17.23,17.3250,-0.35,546,0,3729
