,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2017-04-24,F (Jan 2018),0.0,16.65,17.4,0.0,17.0,0.0,0,0,0
1,2017-04-25,F (Jan 2018),16.4,16.77,16.4,16.76,16.75,-0.25,90,0,73
2,2017-04-26,F (Jan 2018),16.7,16.91,16.65,16.91,16.875,0.125,69,0,137
3,2017-04-27,F (Jan 2018),16.9,16.97,16.4,16.97,16.925,0.05,34,0,164
4,2017-04-28,F (Jan 2018),16.95,17.05,16.9,16.95,16.925,0.0,36,0,189
5,2017-05-01,F (Jan 2018),16.8,16.85,16.65,16.7,16.7,-0.225,15,0,191
6,2017-05-02,F (Jan 2018),16.66,16.7,16.6,16.65,16.65,-0.05,14,0,194
7,2017-05-03,F (Jan 2018),16.7,16.8,16.68,16.75,16.75,0.1,74,0,252
8,2017-05-04,F (Jan 2018),16.8,16.8,16.65,16.65,16.7,-0.05,10,0,253
9,2017-05-05,F (Jan 2018),16.7,16.85,16.68,16.85,16.9,0.2,265,0,496
10,2017-05-08,F (Jan 2018),16.75,16.95,16.75,16.95,16.95,0.05,444,0,924
11,2017-05-09,F (Jan 2018),16.95,17.0,16.85,16.95,16.975,0.025,22,0,943
12,2017-05-10,F (Jan 2018),16.95,17.05,16.95,17.05,17.075,0.1,28,0,962
13,2017-05-11,F (Jan 2018),17.05,17.25,17.05,17.05,17.05,-0.025,142,0,1056
14,2017-05-12,F (Jan 2018),17.1,17.15,17.05,17.15,17.175,0.125,233,0,1247
15,2017-05-15,F (Jan 2018),17.12,17.2,17.05,17.17,17.15,-0.025,125,0,1281
16,2017-05-16,F (Jan 2018),17.15,17.35,17.15,17.23,17.225,0.075,585,0,1614
17,2017-05-17,F (Jan 2018),17.3,17.92,17.25,17.7,17.7,0.475,1014,0,2054
18,2017-05-18,F (Jan 2018),17.7,17.85,17.53,17.69,17.65,-0.05,970,0,2496
19,2017-05-19,F (Jan 2018),17.63,17.65,17.2,17.23,17.225,-0.425,2016,0,3423
20,2017-05-22,F (Jan 2018),17.22,17.3,17.05,17.08,17.1,-0.125,883,0,3706
21,2017-05-23,F (Jan 2018),17.05,17.25,17.0,17.19,17.175,0.075,590,0,4071
22,2017-05-24,F (Jan 2018),17.15,17.32,17.15,17.24,17.225,0.05,1190,0,4618
23,2017-05-25,F (Jan 2018),17.22,17.37,17.15,17.3,17.3,0.075,974,0,5122
24,2017-05-26,F (Jan 2018),17.32,17.42,17.25,17.28,17.275,-0.025,951,0,5455
25,2017-05-30,F (Jan 2018),17.24,17.41,17.05,17.05,17.05,-0.225,526,0,5688
26,2017-05-31,F (Jan 2018),17.06,17.24,16.95,17.05,17.05,0.0,508,0,5793
27,2017-06-01,F (Jan 2018),17.0,17.15,16.95,17.01,17.025,-0.025,1856,0,6456
28,2017-06-02,F (Jan 2018),17.0,17.1,16.97,17.05,17.0,-0.025,444,0,6510
29,2017-06-05,F (Jan 2018),16.95,17.07,16.93,16.98,17.0,0.0,301,0,6614
30,2017-06-06,F (Jan 2018),17.0,17.19,16.98,17.15,17.175,0.175,717,0,6794
31,2017-06-07,F (Jan 2018),17.16,17.29,17.07,17.17,17.175,0.0,358,0,6848
