,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2020-06-22,H (Mar 2021),0.0,21.1,44.9,0.0,31.0,0.0,0,0,0
1,2020-06-23,H (Mar 2021),0.0,17.25,31.5,0.0,31.125,0.125,0,0,0
2,2020-06-24,H (Mar 2021),0.0,19.0,43.75,0.0,31.375,0.25,0,0,0
3,2020-06-25,H (Mar 2021),0.0,25.0,35.0,0.0,31.55,0.175,0,0,0
4,2020-06-26,H (Mar 2021),0.0,21.1,42.15,0.0,31.575,0.025,0,0,0
5,2020-06-29,H (Mar 2021),0.0,22.1,41.85,0.0,31.975,0.4,0,0,0
6,2020-06-30,H (Mar 2021),0.0,23.3,41.85,0.0,32.6,0.625,0,0,0
7,2020-07-01,H (Mar 2021),0.0,23.85,38.8,0.0,31.325,-1.275,0,0,0
8,2020-07-02,H (Mar 2021),0.0,24.0,31.25,0.0,29.4,-1.925,0,0,0
9,2020-07-06,H (Mar 2021),0.0,24.45,34.8,0.0,29.625,0.225,0,0,0
10,2020-07-07,H (Mar 2021),0.0,23.45,34.8,0.0,29.125,-0.5,0,0,0
11,2020-07-08,H (Mar 2021),0.0,23.85,34.8,0.0,29.275,0.15,0,0,0
12,2020-07-09,H (Mar 2021),0.0,18.1,30.0,0.0,29.1,-0.175,0,0,0
13,2020-07-10,H (Mar 2021),0.0,20.25,30.0,0.0,28.675,-0.425,0,0,0
14,2020-07-13,H (Mar 2021),0.0,21.4,30.0,0.0,28.05,-0.625,0,0,0
15,2020-07-14,H (Mar 2021),0.0,22.1,34.8,0.0,28.325,0.275,0,0,0
16,2020-07-15,H (Mar 2021),0.0,22.2,32.0,0.0,27.6,-0.725,0,0,0
17,2020-07-16,H (Mar 2021),30.75,30.75,30.4,30.75,26.65,-0.95,1,0,1
18,2020-07-17,H (Mar 2021),27.05,28.5,27.05,28.5,28.025,1.375,12,0,13
19,2020-07-20,H (Mar 2021),0.0,25.6,29.85,0.0,27.675,-0.35,0,0,13
20,2020-07-21,H (Mar 2021),0.0,26.15,29.7,0.0,27.875,0.2,0,0,13
21,2020-07-22,H (Mar 2021),0.0,26.2,28.95,0.0,27.55,-0.325,0,0,13
22,2020-07-23,H (Mar 2021),27.95,28.3,27.6,28.3,28.075,0.525,96,0,75
23,2020-07-24,H (Mar 2021),28.1,28.5,28.05,28.48,28.525,0.45,51,0,112
24,2020-07-27,H (Mar 2021),28.25,28.6,28.25,28.45,28.375,-0.15,18,0,124
25,2020-07-28,H (Mar 2021),28.55,28.58,28.05,28.2,28.275,-0.1,149,0,176
26,2020-07-29,H (Mar 2021),28.25,28.35,28.14,28.16,28.1,-0.175,39,0,196
27,2020-07-30,H (Mar 2021),28.5,29.39,28.2,28.4,28.55,0.45,150,0,263
28,2020-07-31,H (Mar 2021),28.45,28.92,28.33,28.4,28.4,-0.15,147,0,307
29,2020-08-03,H (Mar 2021),28.45,28.45,28.15,28.31,28.35,-0.05,25,0,314
30,2020-08-04,H (Mar 2021),28.31,28.31,27.92,27.93,27.95,-0.4,61,0,343
31,2020-08-05,H (Mar 2021),27.77,27.85,27.65,27.82,27.775,-0.175,144,0,425
32,2020-08-06,H (Mar 2021),28.05,28.05,27.67,27.69,27.65,-0.125,47,0,454
33,2020-08-07,H (Mar 2021),28.0,28.03,27.62,27.77,27.775,0.125,133,0,476
34,2020-08-10,H (Mar 2021),27.6,27.7,27.4,27.46,27.45,-0.325,46,0,502
35,2020-08-11,H (Mar 2021),27.0,28.0,26.95,27.95,27.975,0.525,146,0,553
36,2020-08-12,H (Mar 2021),27.9,27.9,27.1,27.5,27.45,-0.525,260,0,634
37,2020-08-13,H (Mar 2021),27.55,27.75,27.32,27.62,27.675,0.225,321,0,815
38,2020-08-14,H (Mar 2021),27.8,28.1,27.65,27.9,27.95,0.275,244,0,928
39,2020-08-17,H (Mar 2021),27.7,27.8,27.37,27.5,27.4,-0.55,362,0,1094
40,2020-08-18,H (Mar 2021),27.52,27.62,27.22,27.4,27.375,-0.025,491,0,1313
41,2020-08-19,H (Mar 2021),27.36,27.84,27.3,27.8,27.8,0.425,730,0,1586
42,2020-08-20,H (Mar 2021),27.5,28.3,27.37,27.6,27.625,-0.175,799,0,1878
43,2020-08-21,H (Mar 2021),27.57,28.4,27.55,28.38,28.375,0.75,1703,0,2593
