,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2019-07-22,J (Apr 2020),0.0,0.0,0.0,0.0,17.525,0.0,0,0,0
1,2019-07-23,J (Apr 2020),0.0,17.4,28.9,0.0,17.275,-0.25,0,0,0
2,2019-07-24,J (Apr 2020),0.0,17.0,17.9,0.0,17.45,0.175,0,0,0
3,2019-07-25,J (Apr 2020),17.38,17.38,17.38,17.38,17.375,-0.075,5,0,5
4,2019-07-26,J (Apr 2020),17.34,17.34,17.25,17.3,17.35,-0.025,15,0,20
5,2019-07-29,J (Apr 2020),17.35,17.35,17.35,17.35,17.15,-0.2,5,0,25
6,2019-07-30,J (Apr 2020),17.5,17.5,17.36,17.47,17.325,0.175,197,0,221
7,2019-07-31,J (Apr 2020),17.6,17.9,17.55,17.83,17.425,0.1,37,0,246
8,2019-08-01,J (Apr 2020),17.6,18.0,17.58,17.94,17.8,0.375,32,0,267
9,2019-08-02,J (Apr 2020),17.95,18.15,17.95,18.14,17.9,0.1,7,0,273
10,2019-08-05,J (Apr 2020),18.25,18.85,18.21,18.85,18.15,0.25,73,0,295
11,2019-08-06,J (Apr 2020),18.9,19.3,18.1,18.1,17.975,-0.175,148,0,295
12,2019-08-07,J (Apr 2020),18.45,18.65,18.37,18.37,18.325,0.35,82,0,369
13,2019-08-08,J (Apr 2020),18.39,18.39,17.93,17.93,17.95,-0.375,50,0,419
14,2019-08-09,J (Apr 2020),18.15,18.15,18.0,18.15,18.1,0.15,1,0,420
15,2019-08-12,J (Apr 2020),18.17,18.7,18.05,18.32,18.725,0.625,11,0,429
16,2019-08-13,J (Apr 2020),18.82,18.83,18.18,18.18,18.175,-0.55,31,0,447
17,2019-08-14,J (Apr 2020),18.72,19.32,18.25,19.21,19.075,0.9,19,0,458
18,2019-08-15,J (Apr 2020),19.06,19.35,18.88,18.91,18.925,-0.15,347,0,588
19,2019-08-16,J (Apr 2020),18.78,18.85,18.62,18.62,18.625,-0.3,168,0,651
20,2019-08-19,J (Apr 2020),18.55,18.55,18.2,18.2,18.225,-0.4,441,0,980
21,2019-08-20,J (Apr 2020),18.3,18.65,18.25,18.62,18.725,0.5,226,0,1026
22,2019-08-21,J (Apr 2020),18.5,18.65,18.34,18.38,18.425,-0.3,360,0,1236
23,2019-08-22,J (Apr 2020),18.35,18.65,18.3,18.5,18.55,0.125,860,0,1514
24,2019-08-23,J (Apr 2020),18.45,19.58,18.4,19.29,19.3,0.75,735,0,1791
25,2019-08-26,J (Apr 2020),19.48,19.72,19.0,19.25,19.25,-0.05,1290,0,2265
26,2019-08-27,J (Apr 2020),19.23,19.6,19.1,19.45,19.5,0.25,445,0,2425
27,2019-08-28,J (Apr 2020),19.4,19.75,19.25,19.25,19.275,-0.225,656,0,2711
28,2019-08-29,J (Apr 2020),19.3,19.35,18.85,18.95,18.925,-0.35,211,0,2763
29,2019-08-30,J (Apr 2020),18.9,19.15,18.8,19.1,19.075,0.15,342,0,2789
30,2019-09-03,J (Apr 2020),19.15,19.5,19.05,19.42,19.375,0.3,350,0,2805
31,2019-09-04,J (Apr 2020),19.42,19.42,18.87,18.92,18.925,-0.45,275,0,2871
32,2019-09-05,J (Apr 2020),18.91,18.95,18.55,18.72,18.7,-0.225,380,0,2874
33,2019-09-06,J (Apr 2020),18.6,18.65,18.4,18.5,18.475,-0.225,274,0,2889
34,2019-09-09,J (Apr 2020),18.42,18.7,18.4,18.53,18.55,0.075,317,0,2980
35,2019-09-10,J (Apr 2020),18.55,18.71,18.55,18.65,18.65,0.1,272,0,3055
36,2019-09-11,J (Apr 2020),18.65,18.65,18.43,18.52,18.525,-0.125,843,0,3157
37,2019-09-12,J (Apr 2020),18.5,18.55,18.37,18.48,18.475,-0.05,1175,0,3598
38,2019-09-13,J (Apr 2020),18.45,18.5,18.33,18.48,18.475,0.0,827,0,3720
39,2019-09-16,J (Apr 2020),18.55,18.75,18.49,18.72,18.725,0.25,570,0,3793
40,2019-09-17,J (Apr 2020),18.7,18.95,18.7,18.92,18.9,0.175,1071,0,4161
41,2019-09-18,J (Apr 2020),18.95,19.0,18.7,18.7,18.75,-0.15,1150,0,4284
42,2019-09-19,J (Apr 2020),18.75,18.9,18.5,18.73,18.725,-0.025,492,0,4311
43,2019-09-20,J (Apr 2020),18.71,19.27,18.57,19.22,19.225,0.5,1415,0,4357
44,2019-09-23,J (Apr 2020),19.16,19.22,19.0,19.07,19.125,-0.1,1307,0,4641
45,2019-09-24,J (Apr 2020),19.0,19.5,18.95,19.43,19.425,0.3,1308,0,4699
46,2019-09-25,J (Apr 2020),19.43,19.57,19.22,19.27,19.275,-0.15,828,0,4874
47,2019-09-26,J (Apr 2020),19.3,19.38,19.17,19.25,19.275,0.0,4355,0,6425
48,2019-09-27,J (Apr 2020),19.23,19.65,19.1,19.46,19.5,0.225,1935,0,7214
49,2019-09-30,J (Apr 2020),19.35,19.45,19.16,19.21,19.225,-0.275,1678,0,7492
50,2019-10-01,J (Apr 2020),19.25,19.72,19.09,19.67,19.725,0.5,1435,0,7676
51,2019-10-02,J (Apr 2020),19.65,20.17,19.56,20.12,20.125,0.4,3013,0,8583
52,2019-10-03,J (Apr 2020),20.12,20.42,19.85,19.86,19.85,-0.275,1833,0,8971
53,2019-10-04,J (Apr 2020),19.85,20.0,19.45,19.52,19.475,-0.375,1095,0,8953
54,2019-10-07,J (Apr 2020),19.65,19.65,19.35,19.55,19.55,0.075,1631,0,9031
55,2019-10-08,J (Apr 2020),19.6,20.22,19.42,20.18,20.175,0.625,1048,0,9339
56,2019-10-09,J (Apr 2020),20.2,20.2,19.72,19.87,19.925,-0.25,1821,0,9721
57,2019-10-10,J (Apr 2020),20.12,20.32,19.47,19.55,19.625,-0.3,1936,88,10151
58,2019-10-11,J (Apr 2020),19.45,19.52,19.08,19.32,19.35,-0.275,2377,0,10573
59,2019-10-14,J (Apr 2020),19.35,19.35,19.08,19.1,19.125,-0.225,1277,0,10658
60,2019-10-15,J (Apr 2020),19.16,19.16,18.8,19.0,18.975,-0.15,2756,0,11614
61,2019-10-16,J (Apr 2020),19.02,19.13,18.85,18.88,18.875,-0.1,4486,0,11642
62,2019-10-17,J (Apr 2020),18.9,18.95,18.69,18.75,18.725,-0.15,1710,0,11889
63,2019-10-18,J (Apr 2020),18.74,19.03,18.67,19.0,18.975,0.25,3432,0,12913
64,2019-10-21,J (Apr 2020),18.95,19.0,18.67,18.7,18.675,-0.3,1920,0,12894
65,2019-10-22,J (Apr 2020),18.69,18.98,18.6,18.97,18.925,0.25,2354,0,13069
66,2019-10-23,J (Apr 2020),18.96,19.0,18.7,18.75,18.725,-0.2,1443,0,13122
67,2019-10-24,J (Apr 2020),18.7,18.87,18.66,18.78,18.775,0.05,2094,0,13272
68,2019-10-25,J (Apr 2020),18.8,18.85,18.5,18.53,18.575,-0.2,2506,0,12942
69,2019-10-28,J (Apr 2020),18.53,18.65,18.45,18.64,18.625,0.05,2145,0,12975
70,2019-10-29,J (Apr 2020),18.63,18.75,18.51,18.7,18.675,0.05,2643,0,13172
71,2019-10-30,J (Apr 2020),18.69,18.87,18.45,18.5,18.475,-0.2,3715,0,13256
72,2019-10-31,J (Apr 2020),18.46,18.77,18.45,18.58,18.575,0.1,2603,0,13729
73,2019-11-01,J (Apr 2020),18.57,18.57,18.26,18.35,18.325,-0.25,2163,0,14085
74,2019-11-04,J (Apr 2020),18.32,18.35,18.21,18.27,18.275,-0.05,1761,0,14167
75,2019-11-05,J (Apr 2020),18.25,18.57,18.2,18.56,18.525,0.25,2813,0,14253
76,2019-11-06,J (Apr 2020),18.6,18.72,18.5,18.56,18.575,0.05,1658,0,14604
77,2019-11-07,J (Apr 2020),18.57,18.66,18.4,18.55,18.525,-0.05,1788,0,15013
78,2019-11-08,J (Apr 2020),18.55,18.68,18.45,18.52,18.5,-0.025,1205,0,15125
79,2019-11-11,J (Apr 2020),18.55,18.7,18.35,18.38,18.375,-0.125,2303,0,15227
80,2019-11-12,J (Apr 2020),18.42,18.52,18.32,18.46,18.425,0.05,1783,0,15027
81,2019-11-13,J (Apr 2020),18.47,18.6,18.31,18.42,18.425,0.0,2094,0,15428
82,2019-11-14,J (Apr 2020),18.45,18.55,18.3,18.3,18.325,-0.1,2348,0,14914
83,2019-11-15,J (Apr 2020),18.3,18.3,18.06,18.15,18.125,-0.2,4167,0,15423
84,2019-11-18,J (Apr 2020),18.19,18.32,18.02,18.11,18.075,-0.05,4150,0,15721
85,2019-11-19,J (Apr 2020),18.15,18.3,17.96,18.2,18.225,0.15,6781,0,15970
86,2019-11-20,J (Apr 2020),18.26,18.7,18.2,18.4,18.425,0.2,7634,0,16722
87,2019-11-21,J (Apr 2020),18.5,18.7,18.4,18.67,18.625,0.2,4355,0,16512
88,2019-11-22,J (Apr 2020),18.65,18.67,18.4,18.4,18.425,-0.2,6890,0,17248
89,2019-11-25,J (Apr 2020),18.4,18.4,18.05,18.09,18.075,-0.35,5535,0,17723
90,2019-11-26,J (Apr 2020),18.1,18.15,17.95,17.96,17.975,-0.1,4545,0,18008
