,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2017-08-21,K (May 2018),0.0,17.2,17.8,0.0,17.5,0.0,0,0,0
1,2017-08-22,K (May 2018),17.0,17.25,16.9,16.9,16.875,-0.625,126,0,124
2,2017-08-23,K (May 2018),16.9,17.05,16.9,16.95,16.95,0.075,39,0,151
3,2017-08-24,K (May 2018),16.95,17.06,16.88,17.05,17.025,0.075,81,0,191
4,2017-08-25,K (May 2018),17.0,17.05,16.9,17.0,17.0,-0.025,73,0,242
5,2017-08-28,K (May 2018),17.05,17.05,16.92,16.92,16.95,-0.05,9,0,243
6,2017-08-29,K (May 2018),17.0,17.34,17.0,17.0,16.975,0.025,99,0,267
7,2017-08-30,K (May 2018),16.95,17.15,16.93,17.11,17.1,0.125,106,0,326
8,2017-08-31,K (May 2018),17.1,17.2,16.98,16.98,16.975,-0.125,252,0,525
9,2017-09-01,K (May 2018),16.96,17.0,16.94,16.95,16.95,-0.025,28,0,534
10,2017-09-05,K (May 2018),17.0,17.31,17.0,17.01,17.0,0.05,235,0,665
11,2017-09-06,K (May 2018),17.05,17.21,16.99,17.18,17.2,0.2,316,0,840
12,2017-09-07,K (May 2018),17.2,17.3,17.1,17.15,17.15,-0.05,231,0,996
13,2017-09-08,K (May 2018),17.2,17.36,17.19,17.3,17.275,0.125,135,0,1090
14,2017-09-11,K (May 2018),17.25,17.25,17.05,17.1,17.1,-0.175,119,0,1082
15,2017-09-12,K (May 2018),17.1,17.16,16.94,16.94,16.95,-0.15,39,0,1076
16,2017-09-13,K (May 2018),16.9,17.02,16.75,16.8,16.775,-0.175,175,0,1139
17,2017-09-14,K (May 2018),16.7,16.9,16.6,16.9,16.85,0.075,194,0,1144
18,2017-09-15,K (May 2018),16.9,17.0,16.81,16.83,16.825,-0.025,196,0,1233
19,2017-09-18,K (May 2018),16.8,16.9,16.55,16.6,16.65,-0.175,313,0,1267
20,2017-09-19,K (May 2018),16.6,16.75,16.6,16.73,16.725,0.075,520,0,1517
21,2017-09-20,K (May 2018),16.71,16.85,16.6,16.6,16.625,-0.1,675,0,1896
22,2017-09-21,K (May 2018),16.7,16.75,16.58,16.73,16.725,0.1,378,0,2026
23,2017-09-22,K (May 2018),16.71,16.9,16.7,16.83,16.825,0.1,495,0,2168
24,2017-09-25,K (May 2018),16.8,17.02,16.7,16.8,16.8,-0.025,579,0,2318
25,2017-09-26,K (May 2018),16.75,16.85,16.7,16.75,16.725,-0.075,477,0,2521
26,2017-09-27,K (May 2018),16.7,16.85,16.65,16.75,16.75,0.025,452,0,2725
27,2017-09-28,K (May 2018),16.7,16.8,16.67,16.74,16.725,-0.025,485,0,2950
28,2017-09-29,K (May 2018),16.7,16.77,16.6,16.6,16.625,-0.1,420,0,3128
29,2017-10-02,K (May 2018),16.53,16.62,16.37,16.38,16.4,-0.225,330,0,3216
30,2017-10-03,K (May 2018),16.35,16.42,16.3,16.33,16.35,-0.05,396,0,3370
31,2017-10-04,K (May 2018),16.35,16.4,16.33,16.37,16.35,0.0,340,0,3499
32,2017-10-05,K (May 2018),16.35,16.39,16.18,16.19,16.2,-0.15,487,0,3664
33,2017-10-06,K (May 2018),16.2,16.34,16.2,16.24,16.225,0.025,480,0,3860
34,2017-10-09,K (May 2018),16.25,16.42,16.17,16.35,16.35,0.125,621,0,4002
35,2017-10-10,K (May 2018),16.33,16.43,16.25,16.25,16.225,-0.125,393,0,4117
36,2017-10-11,K (May 2018),16.25,16.35,16.15,16.15,16.175,-0.05,1154,0,4542
37,2017-10-12,K (May 2018),16.2,16.3,16.12,16.22,16.225,0.05,491,0,4659
