,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2017-09-25,M (Jun 2018),0.0,16.95,17.4,0.0,17.175,0.0,0,0,0
1,2017-09-26,M (Jun 2018),17.0,17.0,16.9,16.95,17.0,-0.175,11,0,11
2,2017-09-27,M (Jun 2018),16.9,17.05,16.9,17.04,17.025,0.025,26,0,27
3,2017-09-28,M (Jun 2018),17.0,17.05,16.99,17.0,17.0,-0.025,47,0,54
4,2017-09-29,M (Jun 2018),17.0,17.05,16.95,16.95,16.975,-0.025,11,0,60
5,2017-10-02,M (Jun 2018),16.95,16.95,16.77,16.85,16.775,-0.2,35,0,87
6,2017-10-03,M (Jun 2018),16.76,16.82,16.63,16.7,16.7,-0.075,81,0,133
7,2017-10-04,M (Jun 2018),16.7,16.7,16.67,16.7,16.675,-0.025,17,0,150
8,2017-10-05,M (Jun 2018),16.65,16.65,16.5,16.5,16.5,-0.175,4,0,152
9,2017-10-06,M (Jun 2018),16.6,16.6,16.55,16.55,16.55,0.05,5,0,156
10,2017-10-09,M (Jun 2018),16.55,16.7,16.55,16.7,16.7,0.15,6,0,159
11,2017-10-10,M (Jun 2018),16.65,16.7,16.6,16.6,16.575,-0.125,19,0,163
12,2017-10-11,M (Jun 2018),16.65,16.7,16.5,16.5,16.525,-0.05,87,0,203
13,2017-10-12,M (Jun 2018),16.5,16.6,16.45,16.55,16.55,0.025,98,0,265
14,2017-10-13,M (Jun 2018),16.5,16.52,16.4,16.4,16.4,-0.15,31,0,285
15,2017-10-16,M (Jun 2018),16.4,16.4,16.27,16.3,16.275,-0.125,11,0,281
16,2017-10-17,M (Jun 2018),16.2,16.5,16.18,16.2,16.2,-0.075,119,0,311
17,2017-10-18,M (Jun 2018),16.2,16.29,16.07,16.28,16.275,0.075,621,0,691
18,2017-10-19,M (Jun 2018),16.25,16.6,16.19,16.19,16.175,-0.1,277,0,763
19,2017-10-20,M (Jun 2018),16.1,16.2,16.05,16.07,16.075,-0.1,281,0,873
20,2017-10-23,M (Jun 2018),16.05,16.27,15.95,16.26,16.25,0.175,356,0,1038
21,2017-10-24,M (Jun 2018),16.2,16.35,16.09,16.31,16.3,0.05,336,0,1183
22,2017-10-25,M (Jun 2018),16.3,16.8,16.25,16.35,16.325,0.075,425,0,1321
23,2017-10-26,M (Jun 2018),16.39,16.55,16.25,16.36,16.4,0.075,316,0,1461
24,2017-10-27,M (Jun 2018),16.41,16.45,16.08,16.1,16.1,-0.225,304,0,1611
25,2017-10-30,M (Jun 2018),16.15,16.15,15.96,16.05,16.075,-0.025,456,0,1748
26,2017-10-31,M (Jun 2018),16.05,16.1,15.94,15.96,15.975,-0.1,632,0,2135
27,2017-11-01,M (Jun 2018),15.9,16.05,15.83,16.05,16.025,0.05,371,0,2265
28,2017-11-02,M (Jun 2018),16.05,16.2,16.0,16.12,16.1,0.075,465,0,2379
29,2017-11-03,M (Jun 2018),16.05,16.2,16.0,16.16,16.175,0.15,371,0,2507
30,2017-11-06,M (Jun 2018),16.2,16.3,16.03,16.17,16.175,0.0,641,0,2806
31,2017-11-07,M (Jun 2018),16.19,16.35,16.14,16.31,16.3,0.125,434,0,2903
32,2017-11-08,M (Jun 2018),16.31,16.4,16.19,16.35,16.35,0.05,765,0,3153
33,2017-11-09,M (Jun 2018),16.4,16.73,16.35,16.39,16.375,0.025,1560,0,3781
34,2017-11-10,M (Jun 2018),16.4,16.68,16.39,16.61,16.575,0.2,1123,0,3898
35,2017-11-13,M (Jun 2018),16.55,16.78,16.55,16.75,16.725,0.15,1103,0,4235
36,2017-11-14,M (Jun 2018),16.8,17.05,16.7,16.92,16.925,0.2,1142,0,4710
37,2017-11-15,M (Jun 2018),16.93,17.38,16.91,17.15,17.125,0.2,2383,0,5721
38,2017-11-16,M (Jun 2018),17.17,17.18,16.76,16.86,16.875,-0.25,1605,0,6111
39,2017-11-17,M (Jun 2018),16.85,16.95,16.68,16.78,16.775,-0.1,1858,0,6759
40,2017-11-20,M (Jun 2018),16.7,16.82,16.42,16.45,16.475,-0.3,995,0,7023
41,2017-11-21,M (Jun 2018),16.49,16.5,16.2,16.2,16.225,-0.25,1254,0,7541
42,2017-11-22,M (Jun 2018),16.21,16.24,16.05,16.11,16.125,-0.1,1442,0,8128
43,2017-11-24,M (Jun 2018),16.15,16.25,16.04,16.04,16.025,-0.1,1591,0,8658
44,2017-11-27,M (Jun 2018),16.09,16.2,16.03,16.13,16.125,0.1,1646,0,9312
45,2017-11-28,M (Jun 2018),16.15,16.22,16.0,16.0,16.025,-0.1,1718,0,9910
46,2017-11-29,M (Jun 2018),16.05,16.3,16.0,16.22,16.225,0.2,1735,0,10195
47,2017-11-30,M (Jun 2018),16.19,16.25,16.05,16.15,16.175,-0.05,2012,0,10372
48,2017-12-01,M (Jun 2018),16.2,16.82,16.17,16.32,16.325,0.15,6774,0,11135
49,2017-12-04,M (Jun 2018),16.25,16.25,15.93,16.2,16.225,-0.1,2574,0,11696
50,2017-12-05,M (Jun 2018),16.2,16.2,15.95,16.1,16.125,-0.1,3382,0,11392
51,2017-12-06,M (Jun 2018),16.15,16.22,16.04,16.06,16.075,-0.05,2017,0,11889
52,2017-12-07,M (Jun 2018),16.1,16.1,15.82,15.85,15.825,-0.25,1257,0,11976
53,2017-12-08,M (Jun 2018),15.82,15.85,15.68,15.77,15.775,-0.05,3174,0,12710
54,2017-12-11,M (Jun 2018),15.7,15.9,15.65,15.67,15.675,-0.1,1966,0,12847
55,2017-12-12,M (Jun 2018),15.65,15.75,15.6,15.7,15.725,0.05,2290,0,13251
56,2017-12-13,M (Jun 2018),15.75,15.77,15.58,15.65,15.625,-0.1,3636,0,12835
