,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2017-10-23,N (Jul 2018),0.0,0.0,0.0,0.0,16.25,0.0,0,0,0
1,2017-10-24,N (Jul 2018),16.4,16.56,16.35,16.5,16.575,0.325,38,0,24
2,2017-10-25,N (Jul 2018),16.5,17.1,16.5,16.85,16.75,0.5,53,0,64
3,2017-10-26,N (Jul 2018),16.8,16.8,16.8,16.8,16.85,0.1,1,0,65
4,2017-10-27,N (Jul 2018),16.7,16.7,16.6,16.63,16.55,-0.2,4,0,69
5,2017-10-30,N (Jul 2018),16.57,16.57,16.4,16.46,16.45,-0.1,35,0,82
6,2017-10-31,N (Jul 2018),16.45,16.55,16.38,16.41,16.4,-0.05,71,0,134
7,2017-11-01,N (Jul 2018),16.25,16.46,16.25,16.46,16.475,0.075,43,0,162
8,2017-11-02,N (Jul 2018),16.5,16.62,16.48,16.57,16.55,0.075,87,0,209
9,2017-11-03,N (Jul 2018),16.52,16.65,16.49,16.64,16.65,0.175,106,0,269
10,2017-11-06,N (Jul 2018),16.63,16.75,16.4,16.7,16.675,0.025,240,0,336
11,2017-11-07,N (Jul 2018),16.7,16.82,16.63,16.8,16.8,0.125,108,0,365
12,2017-11-08,N (Jul 2018),16.8,16.85,16.6,16.85,16.825,0.025,281,0,496
13,2017-11-09,N (Jul 2018),16.85,17.17,16.8,16.87,16.875,0.05,272,0,615
14,2017-11-10,N (Jul 2018),16.95,17.17,16.9,17.1,17.1,0.225,132,0,668
15,2017-11-13,N (Jul 2018),17.05,17.26,17.05,17.19,17.175,0.075,727,0,970
16,2017-11-14,N (Jul 2018),17.2,17.5,17.15,17.44,17.4,0.225,248,0,1085
17,2017-11-15,N (Jul 2018),17.42,17.85,17.4,17.64,17.6,0.2,590,0,1410
18,2017-11-16,N (Jul 2018),17.54,17.6,17.2,17.38,17.35,-0.25,438,0,1628
19,2017-11-17,N (Jul 2018),17.4,17.45,17.2,17.25,17.3,-0.05,585,0,1859
