,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2017-11-20,Q (Aug 2018),17.3,17.4,17.3,17.3,17.275,0.0,9,0,8
1,2017-11-21,Q (Aug 2018),17.5,17.55,17.2,17.2,17.225,-0.05,4,0,12
2,2017-11-22,Q (Aug 2018),16.85,17.15,16.85,17.0,17.0,-0.225,86,0,88
3,2017-11-24,Q (Aug 2018),17.1,17.15,16.95,16.95,16.95,-0.05,33,0,118
4,2017-11-27,Q (Aug 2018),16.97,17.06,16.97,17.03,17.025,0.075,90,0,199
5,2017-11-28,Q (Aug 2018),17.1,17.15,16.95,17.05,16.975,-0.05,178,0,340
6,2017-11-29,Q (Aug 2018),16.96,17.15,16.95,17.15,17.15,0.175,53,0,386
7,2017-11-30,Q (Aug 2018),17.13,17.13,16.94,16.99,16.95,-0.2,110,0,463
8,2017-12-01,Q (Aug 2018),17.1,17.51,17.0,17.06,17.025,0.075,345,0,651
9,2017-12-04,Q (Aug 2018),16.9,16.95,16.75,16.95,16.95,-0.075,204,0,778
10,2017-12-05,Q (Aug 2018),16.9,16.95,16.78,16.85,16.9,-0.05,110,0,831
11,2017-12-06,Q (Aug 2018),16.94,16.95,16.79,16.79,16.75,-0.15,205,0,966
12,2017-12-07,Q (Aug 2018),16.79,16.79,16.63,16.7,16.725,-0.025,156,0,1059
13,2017-12-08,Q (Aug 2018),16.6,16.63,16.55,16.6,16.625,-0.1,161,0,955
14,2017-12-11,Q (Aug 2018),16.57,16.65,16.55,16.57,16.525,-0.1,174,0,1022
15,2017-12-12,Q (Aug 2018),16.5,16.55,16.4,16.55,16.55,0.025,162,0,1045
16,2017-12-13,Q (Aug 2018),16.52,16.57,16.45,16.48,16.5,-0.05,123,0,1108
17,2017-12-14,Q (Aug 2018),16.43,16.55,16.4,16.55,16.475,-0.025,104,0,1145
18,2017-12-15,Q (Aug 2018),16.43,16.45,16.23,16.23,16.225,-0.275,113,0,1160
19,2017-12-18,Q (Aug 2018),16.2,16.2,16.05,16.08,16.1,-0.125,149,0,1152
20,2017-12-19,Q (Aug 2018),16.0,16.21,15.98,16.15,16.15,0.05,254,0,1262
21,2017-12-20,Q (Aug 2018),16.0,16.25,16.0,16.22,16.2,0.05,339,0,1361
22,2017-12-21,Q (Aug 2018),16.15,16.2,16.08,16.11,16.1,-0.1,636,0,1694
23,2017-12-22,Q (Aug 2018),16.08,16.13,16.0,16.06,16.075,-0.025,585,0,1778
24,2017-12-26,Q (Aug 2018),16.07,16.07,15.89,15.97,15.95,-0.125,507,0,1965
25,2017-12-27,Q (Aug 2018),15.9,15.97,15.83,15.83,15.825,-0.125,451,0,2185
26,2017-12-28,Q (Aug 2018),15.8,15.89,15.8,15.85,15.85,0.025,359,0,2367
