,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2018-12-24,U (Sep 2019),0.0,0.0,0.0,0.0,21.2,0.0,0,0,0
1,2018-12-26,U (Sep 2019),0.0,18.85,25.35,0.0,22.1,0.9,0,0,0
2,2018-12-27,U (Sep 2019),0.0,18.6,27.9,0.0,23.525,1.425,0,0,0
3,2018-12-28,U (Sep 2019),0.0,18.95,21.9,0.0,20.375,-3.15,0,0,0
4,2018-12-31,U (Sep 2019),0.0,18.85,20.9,0.0,19.9,-0.475,0,0,0
5,2019-01-02,U (Sep 2019),20.64,20.64,20.64,20.64,20.5,0.6,55,0,55
6,2019-01-03,U (Sep 2019),20.94,20.94,20.94,20.94,21.85,1.35,53,0,108
7,2019-01-04,U (Sep 2019),0.0,20.55,20.5,0.0,20.425,-1.425,0,0,108
8,2019-01-07,U (Sep 2019),20.27,20.5,20.2,20.33,20.375,-0.05,128,0,236
9,2019-01-08,U (Sep 2019),20.33,20.5,20.15,20.2,20.15,-0.225,264,0,399
10,2019-01-09,U (Sep 2019),20.1,20.2,19.99,20.1,20.1,-0.05,90,0,357
11,2019-01-10,U (Sep 2019),20.27,20.27,20.05,20.12,20.1,0.0,513,0,737
12,2019-01-11,U (Sep 2019),20.16,20.26,19.87,19.94,19.95,-0.15,303,0,986
13,2019-01-14,U (Sep 2019),20.0,20.15,19.8,19.98,19.95,0.0,537,0,1159
14,2019-01-15,U (Sep 2019),19.85,19.9,19.5,19.68,19.625,-0.325,656,0,1677
15,2019-01-16,U (Sep 2019),19.65,19.67,19.38,19.6,19.65,0.025,1271,0,2010
16,2019-01-17,U (Sep 2019),19.59,19.73,19.47,19.57,19.525,-0.125,1688,0,2825
17,2019-01-18,U (Sep 2019),19.55,19.6,19.3,19.35,19.375,-0.15,1043,0,3380
18,2019-01-22,U (Sep 2019),19.45,19.73,19.4,19.64,19.675,0.3,1192,0,3822
19,2019-01-23,U (Sep 2019),19.6,19.85,19.51,19.65,19.625,-0.05,1380,0,4358
20,2019-01-24,U (Sep 2019),19.67,19.7,19.37,19.44,19.45,-0.175,548,0,4630
21,2019-01-25,U (Sep 2019),19.29,19.4,19.03,19.05,19.15,-0.3,379,0,4737
22,2019-01-28,U (Sep 2019),19.28,19.55,19.15,19.45,19.425,0.275,269,0,4869
23,2019-01-29,U (Sep 2019),19.45,19.5,19.2,19.2,19.25,-0.175,954,0,5053
24,2019-01-30,U (Sep 2019),19.35,19.35,19.05,19.05,19.05,-0.2,331,0,5139
25,2019-01-31,U (Sep 2019),19.05,19.1,18.71,18.71,18.725,-0.325,348,0,5255
26,2019-02-01,U (Sep 2019),18.75,18.8,18.57,18.57,18.65,-0.075,643,0,5424
27,2019-02-04,U (Sep 2019),18.6,18.64,18.33,18.35,18.375,-0.275,371,0,5381
28,2019-02-05,U (Sep 2019),18.35,18.37,17.96,18.15,18.175,-0.2,409,0,5292
29,2019-02-06,U (Sep 2019),18.19,18.2,17.98,18.0,18.0,-0.175,550,0,5256
30,2019-02-07,U (Sep 2019),18.04,18.5,18.04,18.25,18.275,0.275,1653,0,5686
31,2019-02-08,U (Sep 2019),18.3,18.51,18.05,18.15,18.175,-0.1,1032,0,5895
32,2019-02-11,U (Sep 2019),18.15,18.26,18.05,18.2,18.2,0.025,1083,0,6387
33,2019-02-12,U (Sep 2019),18.1,18.15,17.81,18.1,18.1,-0.1,3417,0,7826
34,2019-02-13,U (Sep 2019),18.05,18.1,17.87,17.93,17.925,-0.175,1695,0,8631
35,2019-02-14,U (Sep 2019),17.95,18.11,17.86,18.07,18.075,0.15,930,0,8673
36,2019-02-15,U (Sep 2019),18.11,18.28,17.8,17.83,17.825,-0.25,1081,0,9133
37,2019-02-19,U (Sep 2019),17.8,17.9,17.65,17.8,17.8,-0.025,1287,0,9481
38,2019-02-20,U (Sep 2019),17.85,17.85,17.53,17.57,17.6,-0.2,2594,0,11221
39,2019-02-21,U (Sep 2019),17.6,17.78,17.44,17.6,17.575,-0.025,1090,0,11733
40,2019-02-22,U (Sep 2019),17.61,17.62,17.16,17.21,17.25,-0.325,1235,0,11768
41,2019-02-25,U (Sep 2019),17.19,17.27,16.96,17.18,17.2,-0.05,1065,0,12106
42,2019-02-26,U (Sep 2019),17.22,17.37,17.16,17.35,17.35,0.15,942,0,12269
43,2019-02-27,U (Sep 2019),17.35,17.5,17.02,17.14,17.125,-0.225,3558,0,11645
44,2019-02-28,U (Sep 2019),17.15,17.22,16.93,17.03,17.075,-0.05,3328,0,11297
45,2019-03-01,U (Sep 2019),17.01,17.03,16.7,16.8,16.825,-0.25,5414,0,10419
46,2019-03-04,U (Sep 2019),16.7,17.2,16.67,16.91,16.925,0.1,1715,0,9724
47,2019-03-05,U (Sep 2019),16.95,17.1,16.9,16.96,16.925,0.0,1779,0,9121
48,2019-03-06,U (Sep 2019),16.95,17.23,16.93,17.21,17.225,0.3,1671,0,8839
49,2019-03-07,U (Sep 2019),17.25,17.62,17.16,17.52,17.525,0.3,809,0,8558
50,2019-03-08,U (Sep 2019),17.55,17.95,17.51,17.58,17.575,0.05,1901,0,8022
51,2019-03-11,U (Sep 2019),17.7,17.7,17.05,17.08,17.125,-0.45,2158,0,7317
52,2019-03-12,U (Sep 2019),17.07,17.09,16.9,17.03,17.05,-0.075,2224,0,7334
53,2019-03-13,U (Sep 2019),17.1,17.17,16.86,16.91,16.925,-0.125,1194,0,7568
54,2019-03-14,U (Sep 2019),16.86,17.03,16.8,17.0,16.975,0.05,1715,0,7884
55,2019-03-15,U (Sep 2019),16.97,17.0,16.75,16.8,16.825,-0.15,2232,0,8633
56,2019-03-18,U (Sep 2019),16.8,17.04,16.75,16.96,17.025,0.2,2210,0,9415
57,2019-03-19,U (Sep 2019),17.0,17.2,16.83,17.03,17.0,-0.025,7029,0,9901
58,2019-03-20,U (Sep 2019),17.05,17.15,16.85,17.12,17.075,0.075,1950,0,10242
59,2019-03-21,U (Sep 2019),17.14,17.17,16.8,16.88,16.825,-0.25,3610,0,10704
60,2019-03-22,U (Sep 2019),16.9,17.52,16.88,17.39,17.375,0.55,5521,0,10014
61,2019-03-25,U (Sep 2019),17.4,17.65,17.27,17.52,17.525,0.15,2429,0,10320
62,2019-03-26,U (Sep 2019),17.5,17.52,17.21,17.36,17.375,-0.15,2516,0,10749
63,2019-03-27,U (Sep 2019),17.4,17.71,17.31,17.65,17.675,0.3,2256,0,11283
64,2019-03-28,U (Sep 2019),17.7,17.75,17.45,17.46,17.475,-0.2,1963,0,11716
65,2019-03-29,U (Sep 2019),17.5,17.5,17.08,17.22,17.175,-0.3,2315,0,11771
66,2019-04-01,U (Sep 2019),17.1,17.1,16.95,16.98,16.975,-0.2,2110,0,12110
67,2019-04-02,U (Sep 2019),17.02,17.11,16.97,17.11,17.125,0.15,2349,0,12828
68,2019-04-03,U (Sep 2019),17.12,17.16,16.86,16.88,16.925,-0.2,4199,0,13209
69,2019-04-04,U (Sep 2019),16.9,17.04,16.82,16.93,16.925,0.0,2669,0,13115
70,2019-04-05,U (Sep 2019),16.91,16.95,16.77,16.82,16.825,-0.1,3616,0,13686
71,2019-04-08,U (Sep 2019),16.83,16.9,16.65,16.7,16.7,-0.125,1601,0,13641
72,2019-04-09,U (Sep 2019),16.7,17.1,16.68,17.07,17.075,0.375,2995,0,13792
73,2019-04-10,U (Sep 2019),17.08,17.08,16.81,16.95,16.95,-0.125,2140,0,14007
74,2019-04-11,U (Sep 2019),16.97,17.0,16.75,16.8,16.825,-0.125,2312,0,14433
75,2019-04-12,U (Sep 2019),16.77,16.9,16.57,16.85,16.875,0.05,6314,0,16380
76,2019-04-15,U (Sep 2019),16.87,16.95,16.65,16.82,16.825,-0.05,3816,0,16865
77,2019-04-16,U (Sep 2019),16.83,16.95,16.72,16.95,16.925,0.1,4549,0,17271
78,2019-04-17,U (Sep 2019),16.95,17.02,16.75,16.86,16.875,-0.05,5888,0,16673
79,2019-04-18,U (Sep 2019),16.9,17.02,16.77,16.89,16.85,-0.025,3310,0,16602
80,2019-04-22,U (Sep 2019),16.9,17.0,16.6,16.69,16.675,-0.175,6726,0,17851
81,2019-04-23,U (Sep 2019),16.67,16.72,16.55,16.68,16.675,0.0,6097,8,17975
82,2019-04-24,U (Sep 2019),16.68,16.82,16.56,16.7,16.675,0.0,9363,0,17366
83,2019-04-25,U (Sep 2019),16.69,16.97,16.62,16.91,16.875,0.2,11321,0,17546
84,2019-04-26,U (Sep 2019),16.9,16.96,16.7,16.77,16.725,-0.15,3441,0,17848
85,2019-04-29,U (Sep 2019),16.76,16.9,16.7,16.82,16.825,0.1,5308,0,18754
86,2019-04-30,U (Sep 2019),16.83,17.05,16.78,16.82,16.825,0.0,3202,0,18741
87,2019-05-01,U (Sep 2019),16.82,17.31,16.66,17.27,17.225,0.4,5008,0,19112
88,2019-05-02,U (Sep 2019),17.3,17.42,17.0,17.22,17.225,0.0,7805,0,19233
89,2019-05-03,U (Sep 2019),17.21,17.23,16.8,16.9,16.875,-0.35,4899,0,19638
90,2019-05-06,U (Sep 2019),17.0,17.77,16.97,17.25,17.125,0.25,8069,0,20268
91,2019-05-07,U (Sep 2019),17.3,18.27,17.03,17.91,17.925,0.8,13051,0,20435
92,2019-05-08,U (Sep 2019),17.93,18.15,17.62,17.77,17.725,-0.2,11084,0,19486
93,2019-05-09,U (Sep 2019),17.8,18.37,17.7,17.78,17.725,0.0,9103,0,20640
94,2019-05-10,U (Sep 2019),17.81,18.2,17.25,17.35,17.275,-0.45,6921,0,20768
95,2019-05-13,U (Sep 2019),17.45,18.47,17.45,18.43,18.425,1.15,8472,0,21313
96,2019-05-14,U (Sep 2019),18.45,18.5,17.7,17.74,17.725,-0.7,7794,0,21719
97,2019-05-15,U (Sep 2019),17.75,18.05,17.4,17.5,17.525,-0.2,6611,0,21965
98,2019-05-16,U (Sep 2019),17.5,17.67,17.1,17.25,17.375,-0.15,6340,0,22068
99,2019-05-17,U (Sep 2019),17.3,17.65,17.2,17.38,17.375,0.0,8551,0,23158
100,2019-05-20,U (Sep 2019),17.35,17.7,17.27,17.52,17.575,0.2,4827,0,23482
101,2019-05-21,U (Sep 2019),17.55,17.55,17.11,17.12,17.225,-0.35,9198,0,24252
102,2019-05-22,U (Sep 2019),17.15,17.34,17.07,17.22,17.225,0.0,12950,0,25012
103,2019-05-23,U (Sep 2019),17.2,17.83,17.2,17.75,17.725,0.5,11880,0,25551
104,2019-05-24,U (Sep 2019),17.7,17.8,17.37,17.67,17.625,-0.1,8168,0,25554
105,2019-05-28,U (Sep 2019),17.65,17.9,17.46,17.87,17.875,0.25,6432,0,25527
106,2019-05-29,U (Sep 2019),17.9,18.2,17.85,18.08,18.075,0.2,13008,0,23777
107,2019-05-30,U (Sep 2019),18.05,18.12,17.81,17.9,17.875,-0.2,7461,0,23968
108,2019-05-31,U (Sep 2019),17.9,18.44,17.9,18.31,18.325,0.45,11450,0,24207
109,2019-06-03,U (Sep 2019),18.35,18.67,18.07,18.25,18.275,-0.05,13956,0,25053
110,2019-06-04,U (Sep 2019),18.25,18.32,17.7,17.73,17.725,-0.55,9708,0,24350
111,2019-06-05,U (Sep 2019),17.74,17.85,17.54,17.6,17.575,-0.15,6850,0,24373
112,2019-06-06,U (Sep 2019),17.6,17.76,17.35,17.45,17.425,-0.15,6536,0,24392
113,2019-06-07,U (Sep 2019),17.43,17.6,17.22,17.53,17.525,0.1,7314,0,23781
114,2019-06-10,U (Sep 2019),17.5,17.5,17.25,17.35,17.325,-0.2,6358,0,23028
115,2019-06-11,U (Sep 2019),17.35,17.55,17.15,17.48,17.475,0.15,10929,0,23559
116,2019-06-12,U (Sep 2019),17.47,17.62,17.42,17.5,17.475,0.0,7931,0,24872
117,2019-06-13,U (Sep 2019),17.5,17.63,17.3,17.46,17.475,0.0,8892,0,25724
118,2019-06-14,U (Sep 2019),17.48,17.62,17.25,17.3,17.325,-0.15,10159,0,26654
119,2019-06-17,U (Sep 2019),17.3,17.35,17.1,17.2,17.125,-0.2,9135,0,28341
120,2019-06-18,U (Sep 2019),17.15,17.25,16.89,17.15,17.225,0.1,17236,0,30111
121,2019-06-19,U (Sep 2019),17.2,17.23,16.95,17.01,16.975,-0.25,20629,0,29679
122,2019-06-20,U (Sep 2019),17.0,17.37,16.75,16.95,16.975,0.0,25943,0,32161
123,2019-06-21,U (Sep 2019),17.0,17.4,16.92,17.37,17.375,0.4,20373,0,33446
124,2019-06-24,U (Sep 2019),17.37,17.37,17.1,17.27,17.225,-0.15,9266,0,33785
125,2019-06-25,U (Sep 2019),17.28,17.64,17.2,17.6,17.575,0.35,12942,0,34926
126,2019-06-26,U (Sep 2019),17.6,17.6,17.3,17.53,17.525,-0.05,13248,0,34343
127,2019-06-27,U (Sep 2019),17.55,17.57,17.26,17.31,17.275,-0.25,15012,0,34434
128,2019-06-28,U (Sep 2019),17.27,17.37,16.91,16.99,16.925,-0.35,18250,0,36529
129,2019-07-01,U (Sep 2019),16.85,16.86,16.5,16.55,16.575,-0.35,26607,0,34155
130,2019-07-02,U (Sep 2019),16.57,16.7,16.1,16.15,16.125,-0.45,28151,0,35223
131,2019-07-03,U (Sep 2019),16.16,16.32,16.05,16.05,16.075,-0.05,16116,0,34955
132,2019-07-05,U (Sep 2019),16.08,16.6,16.0,16.12,16.125,0.05,24137,0,36772
133,2019-07-08,U (Sep 2019),16.15,16.5,16.06,16.44,16.425,0.3,27763,0,38648
134,2019-07-09,U (Sep 2019),16.45,16.75,16.4,16.55,16.525,0.1,21045,0,41041
135,2019-07-10,U (Sep 2019),16.5,16.65,16.1,16.17,16.125,-0.4,26760,0,40964
136,2019-07-11,U (Sep 2019),16.18,16.28,15.95,16.09,16.075,-0.05,24146,0,42687
137,2019-07-12,U (Sep 2019),16.1,16.15,15.95,15.96,16.025,-0.05,26435,0,46289
138,2019-07-15,U (Sep 2019),15.95,16.15,15.85,16.03,16.025,0.0,26521,0,48966
139,2019-07-16,U (Sep 2019),16.05,16.25,15.87,16.2,16.175,0.15,44890,0,52670
140,2019-07-17,U (Sep 2019),16.25,16.65,15.95,16.61,16.575,0.4,65195,0,60691
141,2019-07-18,U (Sep 2019),16.6,16.72,16.2,16.27,16.375,-0.2,72727,0,63878
142,2019-07-19,U (Sep 2019),16.25,16.8,16.2,16.78,16.725,0.35,76984,184,76261
143,2019-07-22,U (Sep 2019),16.75,16.75,16.32,16.38,16.375,-0.35,59513,248,77011
144,2019-07-23,U (Sep 2019),16.38,16.4,16.0,16.2,16.125,-0.25,64580,0,85752
145,2019-07-24,U (Sep 2019),16.2,16.25,15.65,15.83,15.825,-0.3,70342,345,94590
146,2019-07-25,U (Sep 2019),15.82,16.3,15.65,16.2,16.125,0.3,67351,240,99860
147,2019-07-26,U (Sep 2019),16.15,16.17,15.7,15.86,15.825,-0.3,63772,245,110441
148,2019-07-29,U (Sep 2019),15.9,16.02,15.75,15.9,15.925,0.1,58949,566,121695
