,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2019-12-09,V (Oct 2020),19.5,19.55,19.5,19.5,20.275,0.0,1,0,1
1,2019-12-10,V (Oct 2020),20.05,20.05,19.2,19.7,19.675,-0.6,3,0,3
2,2019-12-11,V (Oct 2020),0.0,19.15,20.05,0.0,19.6,-0.075,0,0,3
3,2019-12-12,V (Oct 2020),19.05,19.05,19.05,19.05,19.475,-0.125,15,0,18
4,2019-12-13,V (Oct 2020),19.41,19.45,19.05,19.15,19.225,-0.25,39,0,56
5,2019-12-16,V (Oct 2020),18.85,19.1,18.85,19.1,19.075,-0.15,23,0,78
6,2019-12-17,V (Oct 2020),19.33,19.37,19.09,19.21,19.3,0.225,59,0,135
7,2019-12-18,V (Oct 2020),19.15,19.45,18.9,19.3,19.35,0.05,380,0,507
8,2019-12-19,V (Oct 2020),19.3,19.6,19.3,19.55,19.575,0.225,48,0,549
9,2019-12-20,V (Oct 2020),19.45,19.55,19.45,19.5,19.55,-0.025,26,0,570
10,2019-12-23,V (Oct 2020),19.45,19.66,19.2,19.57,19.575,0.025,94,0,646
11,2019-12-24,V (Oct 2020),19.51,19.63,19.45,19.59,19.6,0.025,70,0,699
12,2019-12-26,V (Oct 2020),19.55,19.65,19.5,19.55,19.575,-0.025,143,0,812
13,2019-12-27,V (Oct 2020),19.52,19.65,19.45,19.65,19.925,0.35,40,0,839
14,2019-12-30,V (Oct 2020),19.68,19.95,19.58,19.95,19.875,-0.05,202,0,949
15,2019-12-31,V (Oct 2020),19.85,20.0,19.75,19.76,19.75,-0.125,84,0,995
16,2020-01-02,V (Oct 2020),19.81,19.85,19.7,19.8,19.85,0.1,242,0,1140
17,2020-01-03,V (Oct 2020),19.95,19.96,19.8,19.9,19.925,0.075,41,0,1153
18,2020-01-06,V (Oct 2020),19.92,20.03,19.92,20.0,20.0,0.075,69,0,1196
19,2020-01-07,V (Oct 2020),19.85,20.02,19.85,20.0,20.025,0.025,68,0,1226
20,2020-01-08,V (Oct 2020),20.0,20.25,19.8,19.95,19.975,-0.05,2261,0,3389
21,2020-01-09,V (Oct 2020),19.9,20.22,19.9,20.05,20.075,0.1,1518,0,4606
22,2020-01-10,V (Oct 2020),19.92,20.1,19.89,20.1,20.05,-0.025,330,0,5675
23,2020-01-13,V (Oct 2020),19.99,19.99,19.8,19.88,19.85,-0.2,311,0,5878
24,2020-01-14,V (Oct 2020),20.0,20.05,19.8,19.8,19.85,0.0,232,0,5298
25,2020-01-15,V (Oct 2020),19.9,20.0,19.85,19.85,19.85,0.0,386,0,5576
26,2020-01-16,V (Oct 2020),19.95,19.95,19.75,19.75,19.825,-0.025,282,0,5674
27,2020-01-17,V (Oct 2020),19.9,19.95,19.85,19.9,19.925,0.1,129,0,5771
28,2020-01-21,V (Oct 2020),19.9,20.0,19.83,19.94,19.95,0.025,201,0,5866
29,2020-01-22,V (Oct 2020),20.0,20.0,19.85,19.9,19.9,-0.05,288,0,6006
30,2020-01-23,V (Oct 2020),19.95,20.0,19.69,19.71,19.7,-0.2,303,0,6191
31,2020-01-24,V (Oct 2020),19.7,19.95,19.67,19.95,19.925,0.225,213,0,6247
32,2020-01-27,V (Oct 2020),20.0,20.2,19.9,20.2,20.125,0.2,175,0,6437
33,2020-01-28,V (Oct 2020),20.05,20.05,19.9,19.92,19.975,-0.15,304,0,6522
34,2020-01-29,V (Oct 2020),19.9,20.05,19.89,20.0,20.0,0.025,216,0,6772
35,2020-01-30,V (Oct 2020),20.0,20.15,19.7,19.7,19.725,-0.275,162,0,6836
36,2020-01-31,V (Oct 2020),19.8,20.25,19.79,20.25,20.175,0.45,150,0,6874
37,2020-02-03,V (Oct 2020),20.1,20.15,19.99,20.07,20.075,-0.1,169,0,6979
38,2020-02-04,V (Oct 2020),20.0,20.01,19.85,19.9,19.925,-0.15,395,0,7283
39,2020-02-05,V (Oct 2020),19.85,19.9,19.75,19.79,19.825,-0.1,525,0,7643
40,2020-02-06,V (Oct 2020),19.75,19.84,19.75,19.8,19.825,0.0,181,0,7804
41,2020-02-07,V (Oct 2020),19.8,19.93,19.75,19.78,19.825,0.0,247,0,7926
42,2020-02-10,V (Oct 2020),19.9,19.9,19.58,19.61,19.625,-0.2,295,0,8118
43,2020-02-11,V (Oct 2020),19.65,19.8,19.6,19.78,19.725,0.1,408,0,8342
44,2020-02-12,V (Oct 2020),19.7,19.75,19.55,19.6,19.575,-0.15,331,0,8522
45,2020-02-13,V (Oct 2020),19.59,19.85,19.55,19.65,19.675,0.1,372,0,8708
46,2020-02-14,V (Oct 2020),19.7,19.79,19.6,19.6,19.625,-0.05,1124,0,8782
47,2020-02-18,V (Oct 2020),19.6,19.95,19.58,19.9,19.9,0.275,1170,0,9399
48,2020-02-19,V (Oct 2020),19.86,19.9,19.8,19.86,19.875,-0.025,389,0,9590
49,2020-02-20,V (Oct 2020),19.9,20.25,19.85,20.08,20.125,0.25,732,0,9881
50,2020-02-21,V (Oct 2020),20.2,20.68,20.14,20.55,20.6,0.475,2028,0,10740
51,2020-02-24,V (Oct 2020),20.75,21.58,20.6,21.37,21.325,0.725,1357,0,11096
52,2020-02-25,V (Oct 2020),21.15,22.27,21.0,21.9,22.025,0.7,1438,0,11452
53,2020-02-26,V (Oct 2020),21.85,22.3,21.64,22.2,22.2,0.175,1132,0,11718
54,2020-02-27,V (Oct 2020),22.28,22.9,22.18,22.9,22.75,0.55,829,0,11742
55,2020-02-28,V (Oct 2020),22.9,23.75,22.45,22.52,22.55,-0.2,1585,0,11807
56,2020-03-02,V (Oct 2020),22.85,23.07,22.15,22.6,22.625,0.075,1439,0,12129
