,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2019-02-19,X (Nov 2019),0.0,0.0,0.0,0.0,18.075,0.0,0,0,0
1,2019-02-20,X (Nov 2019),18.35,18.35,18.05,18.05,18.1,0.025,26,0,18
2,2019-02-21,X (Nov 2019),18.13,18.25,18.0,18.01,18.075,-0.025,58,0,71
3,2019-02-22,X (Nov 2019),18.0,18.0,17.88,17.88,17.725,-0.35,6,0,69
4,2019-02-25,X (Nov 2019),17.66,17.7,17.65,17.67,17.65,-0.075,39,0,93
5,2019-02-26,X (Nov 2019),17.7,17.71,17.62,17.68,17.575,-0.075,243,0,232
6,2019-02-27,X (Nov 2019),17.7,17.7,17.4,17.4,17.45,-0.125,148,0,264
7,2019-02-28,X (Nov 2019),17.35,17.5,17.31,17.31,17.35,-0.1,17,0,275
8,2019-03-01,X (Nov 2019),17.17,17.18,17.06,17.06,16.875,-0.475,89,0,358
9,2019-03-04,X (Nov 2019),17.06,17.5,17.02,17.11,17.3,0.425,179,0,513
10,2019-03-05,X (Nov 2019),17.26,17.27,17.11,17.13,17.1,-0.2,110,0,623
11,2019-03-06,X (Nov 2019),17.24,17.38,17.2,17.38,17.15,0.05,37,0,659
12,2019-03-07,X (Nov 2019),17.43,17.65,17.32,17.61,17.6,0.45,102,0,758
13,2019-03-08,X (Nov 2019),17.75,18.0,17.62,17.67,17.6,0.0,216,0,934
14,2019-03-11,X (Nov 2019),17.71,17.77,17.22,17.22,17.275,-0.325,187,0,1045
15,2019-03-12,X (Nov 2019),17.14,17.21,17.1,17.17,17.125,-0.15,213,0,1149
16,2019-03-13,X (Nov 2019),17.16,17.31,17.06,17.08,17.1,-0.025,164,0,1253
17,2019-03-14,X (Nov 2019),17.03,17.17,17.01,17.16,17.15,0.05,402,0,1456
18,2019-03-15,X (Nov 2019),17.12,17.2,16.93,17.0,17.025,-0.125,368,0,1583
19,2019-03-18,X (Nov 2019),17.0,17.17,16.95,17.12,17.15,0.125,480,0,1780
20,2019-03-19,X (Nov 2019),17.14,17.3,17.01,17.2,17.15,0.0,1079,0,2285
21,2019-03-20,X (Nov 2019),17.25,17.3,17.03,17.23,17.225,0.075,384,0,2436
22,2019-03-21,X (Nov 2019),17.2,17.3,17.0,17.05,17.0,-0.225,333,0,2580
23,2019-03-22,X (Nov 2019),17.15,17.55,17.08,17.45,17.425,0.425,899,0,2815
24,2019-03-25,X (Nov 2019),17.5,17.65,17.35,17.55,17.55,0.125,727,0,3072
25,2019-03-26,X (Nov 2019),17.5,17.55,17.3,17.43,17.45,-0.1,544,0,3208
26,2019-03-27,X (Nov 2019),17.45,17.7,17.37,17.68,17.7,0.25,762,0,3450
27,2019-03-28,X (Nov 2019),17.7,17.75,17.5,17.57,17.55,-0.15,404,0,3435
28,2019-03-29,X (Nov 2019),17.55,17.6,17.2,17.25,17.25,-0.3,399,0,3533
29,2019-04-01,X (Nov 2019),17.2,17.2,17.07,17.15,17.175,-0.075,1288,0,3010
30,2019-04-02,X (Nov 2019),17.14,17.27,17.1,17.26,17.225,0.05,1308,0,3339
31,2019-04-03,X (Nov 2019),17.15,17.3,17.03,17.07,17.075,-0.15,780,0,3656
32,2019-04-04,X (Nov 2019),17.06,17.23,17.02,17.11,17.125,0.05,424,0,3722
33,2019-04-05,X (Nov 2019),17.1,17.16,17.01,17.05,17.05,-0.075,369,0,3707
34,2019-04-08,X (Nov 2019),17.1,17.11,16.88,16.93,16.925,-0.125,926,0,3784
35,2019-04-09,X (Nov 2019),16.9,17.22,16.9,17.21,17.175,0.25,644,0,4012
36,2019-04-10,X (Nov 2019),17.2,17.2,17.01,17.1,17.1,-0.075,1468,0,4707
37,2019-04-11,X (Nov 2019),17.11,17.17,16.88,16.96,16.975,-0.125,952,0,5116
38,2019-04-12,X (Nov 2019),16.95,17.11,16.76,17.06,17.075,0.1,1571,0,5602
39,2019-04-15,X (Nov 2019),17.06,17.14,16.9,17.03,17.075,0.0,942,0,5858
40,2019-04-16,X (Nov 2019),17.07,17.2,16.95,17.13,17.175,0.1,1476,0,6517
41,2019-04-17,X (Nov 2019),17.15,17.24,17.02,17.14,17.15,-0.025,947,0,6813
42,2019-04-18,X (Nov 2019),17.15,17.25,17.04,17.15,17.1,-0.05,757,0,7039
43,2019-04-22,X (Nov 2019),17.13,17.23,16.91,16.96,16.975,-0.125,1025,0,7307
44,2019-04-23,X (Nov 2019),16.98,17.07,16.9,17.03,17.025,0.05,4117,1,9128
45,2019-04-24,X (Nov 2019),17.03,17.2,16.87,17.0,16.875,-0.15,3218,0,8919
46,2019-04-25,X (Nov 2019),16.98,17.16,16.88,17.12,17.075,0.2,4066,0,8380
47,2019-04-26,X (Nov 2019),17.11,17.15,16.9,17.05,17.0,-0.075,1432,0,8548
48,2019-04-29,X (Nov 2019),17.0,17.16,16.98,17.08,17.075,0.075,1750,0,8906
49,2019-04-30,X (Nov 2019),17.09,17.27,17.03,17.05,17.075,0.0,1150,0,9287
50,2019-05-01,X (Nov 2019),17.08,17.46,16.94,17.45,17.425,0.35,1267,0,9565
51,2019-05-02,X (Nov 2019),17.39,17.55,17.2,17.41,17.375,-0.05,2205,0,10669
52,2019-05-03,X (Nov 2019),17.4,17.4,17.05,17.12,17.125,-0.25,1602,0,10933
53,2019-05-06,X (Nov 2019),17.2,17.85,17.17,17.41,17.325,0.2,2510,0,11303
54,2019-05-07,X (Nov 2019),17.47,18.15,17.25,17.87,17.85,0.525,3455,0,12220
55,2019-05-08,X (Nov 2019),17.87,18.0,17.6,17.75,17.7,-0.15,2772,0,12616
56,2019-05-09,X (Nov 2019),17.75,18.22,17.71,17.78,17.725,0.025,1852,0,12890
57,2019-05-10,X (Nov 2019),17.8,18.13,17.3,17.37,17.35,-0.375,2157,0,13413
58,2019-05-13,X (Nov 2019),17.55,18.3,17.55,18.25,18.225,0.875,2521,0,14061
59,2019-05-14,X (Nov 2019),18.3,18.31,17.65,17.65,17.675,-0.55,2613,0,13844
60,2019-05-15,X (Nov 2019),17.66,17.9,17.37,17.42,17.475,-0.2,1395,0,13855
61,2019-05-16,X (Nov 2019),17.45,17.6,17.15,17.35,17.375,-0.1,2254,0,13951
62,2019-05-17,X (Nov 2019),17.3,17.65,17.25,17.42,17.425,0.05,1756,0,14342
63,2019-05-20,X (Nov 2019),17.44,17.7,17.36,17.57,17.625,0.2,1039,0,14375
64,2019-05-21,X (Nov 2019),17.55,17.55,17.3,17.31,17.325,-0.3,2127,0,15670
65,2019-05-22,X (Nov 2019),17.3,17.47,17.25,17.37,17.375,0.05,3723,0,16334
66,2019-05-23,X (Nov 2019),17.4,17.83,17.4,17.72,17.775,0.4,3769,0,16896
67,2019-05-24,X (Nov 2019),17.68,17.83,17.48,17.76,17.725,-0.05,3754,0,17413
68,2019-05-28,X (Nov 2019),17.76,17.9,17.56,17.87,17.875,0.15,2644,0,17216
69,2019-05-29,X (Nov 2019),17.9,18.07,17.82,18.02,18.025,0.15,1953,0,16934
70,2019-05-30,X (Nov 2019),18.05,18.08,17.85,17.88,17.875,-0.15,2056,0,16868
71,2019-05-31,X (Nov 2019),17.95,18.3,17.9,18.23,18.225,0.35,2874,0,17206
72,2019-06-03,X (Nov 2019),18.25,18.52,18.0,18.17,18.175,-0.05,3547,0,17381
73,2019-06-04,X (Nov 2019),18.2,18.2,17.65,17.65,17.675,-0.5,3533,0,17289
74,2019-06-05,X (Nov 2019),17.65,17.77,17.5,17.55,17.575,-0.1,2314,0,17784
75,2019-06-06,X (Nov 2019),17.6,17.65,17.35,17.47,17.425,-0.15,1789,0,18098
76,2019-06-07,X (Nov 2019),17.45,17.6,17.29,17.54,17.55,0.125,1504,0,17969
77,2019-06-10,X (Nov 2019),17.5,17.5,17.3,17.37,17.375,-0.175,1147,0,17634
78,2019-06-11,X (Nov 2019),17.45,17.55,17.27,17.48,17.475,0.1,2831,0,17516
79,2019-06-12,X (Nov 2019),17.48,17.62,17.48,17.55,17.55,0.075,2061,0,17844
80,2019-06-13,X (Nov 2019),17.56,17.66,17.4,17.53,17.5,-0.05,2543,0,18460
81,2019-06-14,X (Nov 2019),17.55,17.61,17.37,17.42,17.425,-0.075,2438,0,19279
82,2019-06-17,X (Nov 2019),17.41,17.45,17.25,17.27,17.275,-0.15,3148,0,20252
83,2019-06-18,X (Nov 2019),17.27,17.35,17.03,17.3,17.325,0.05,4008,0,20714
84,2019-06-19,X (Nov 2019),17.35,17.35,17.12,17.23,17.225,-0.1,7403,0,20926
85,2019-06-20,X (Nov 2019),17.2,17.45,16.97,17.11,17.075,-0.15,8861,0,21250
86,2019-06-21,X (Nov 2019),17.15,17.5,17.09,17.45,17.425,0.35,5256,0,21285
87,2019-06-24,X (Nov 2019),17.4,17.45,17.22,17.35,17.325,-0.1,2982,0,21341
88,2019-06-25,X (Nov 2019),17.35,17.66,17.33,17.62,17.625,0.3,2934,0,21457
89,2019-06-26,X (Nov 2019),17.65,17.65,17.45,17.6,17.575,-0.05,3809,0,21978
90,2019-06-27,X (Nov 2019),17.61,17.62,17.35,17.35,17.375,-0.2,3958,0,22351
91,2019-06-28,X (Nov 2019),17.4,17.44,17.05,17.15,17.075,-0.3,3018,0,22746
92,2019-07-01,X (Nov 2019),17.05,17.05,16.75,16.85,16.85,-0.225,5856,0,23584
93,2019-07-02,X (Nov 2019),16.8,16.95,16.58,16.6,16.625,-0.225,6225,0,23546
94,2019-07-03,X (Nov 2019),16.61,16.7,16.52,16.54,16.55,-0.075,5970,0,23813
95,2019-07-05,X (Nov 2019),16.55,16.92,16.4,16.52,16.55,0.0,7715,0,25321
96,2019-07-08,X (Nov 2019),16.5,16.85,16.5,16.78,16.775,0.225,7563,0,24729
97,2019-07-09,X (Nov 2019),16.75,16.97,16.75,16.87,16.875,0.1,5258,0,24597
98,2019-07-10,X (Nov 2019),16.9,16.97,16.6,16.67,16.675,-0.2,6325,0,25235
99,2019-07-11,X (Nov 2019),16.7,16.78,16.5,16.57,16.575,-0.1,9953,0,28580
100,2019-07-12,X (Nov 2019),16.57,16.62,16.45,16.52,16.525,-0.05,6728,0,29930
101,2019-07-15,X (Nov 2019),16.53,16.68,16.45,16.57,16.625,0.1,7351,0,31055
102,2019-07-16,X (Nov 2019),16.6,16.8,16.5,16.8,16.775,0.15,8964,0,32785
103,2019-07-17,X (Nov 2019),16.8,17.05,16.6,17.01,17.025,0.25,14165,0,33763
104,2019-07-18,X (Nov 2019),17.0,17.1,16.71,16.78,16.875,-0.15,13194,0,33264
105,2019-07-19,X (Nov 2019),16.77,17.07,16.75,17.03,16.975,0.1,12973,0,35645
106,2019-07-22,X (Nov 2019),17.0,17.15,16.77,16.88,16.925,-0.05,13977,0,33090
107,2019-07-23,X (Nov 2019),16.95,16.95,16.55,16.68,16.625,-0.3,9705,0,34186
