,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2018-03-26,Z (Dec 2018),0.0,18.0,19.5,0.0,18.5,0.0,0,0,0
1,2018-03-27,Z (Dec 2018),18.68,19.06,18.65,19.04,19.025,0.525,115,0,113
2,2018-03-28,Z (Dec 2018),18.97,19.45,18.97,19.3,19.425,0.4,43,0,149
3,2018-03-29,Z (Dec 2018),19.0,19.1,18.89,18.89,18.9,-0.525,12,0,154
4,2018-04-02,Z (Dec 2018),19.25,19.6,19.15,19.4,19.225,0.325,130,0,221
5,2018-04-03,Z (Dec 2018),19.42,19.45,18.94,18.97,19.05,-0.175,96,0,273
6,2018-04-04,Z (Dec 2018),19.25,19.5,18.98,18.98,18.95,-0.1,118,0,312
7,2018-04-05,Z (Dec 2018),19.0,19.02,18.85,18.85,18.85,-0.1,153,0,393
8,2018-04-06,Z (Dec 2018),18.88,19.56,18.66,19.25,19.25,0.4,97,0,414
9,2018-04-09,Z (Dec 2018),19.17,19.27,19.05,19.27,19.25,0.0,30,0,430
10,2018-04-10,Z (Dec 2018),19.34,19.46,19.05,19.23,19.25,0.0,237,0,438
11,2018-04-11,Z (Dec 2018),19.25,19.55,19.2,19.5,19.5,0.25,543,0,754
12,2018-04-12,Z (Dec 2018),19.45,19.45,19.1,19.1,19.1,-0.4,131,0,687
13,2018-04-13,Z (Dec 2018),19.12,19.2,18.77,18.81,18.825,-0.275,344,0,747
14,2018-04-16,Z (Dec 2018),18.7,18.75,18.5,18.6,18.575,-0.25,139,0,804
15,2018-04-17,Z (Dec 2018),18.55,18.56,18.15,18.22,18.225,-0.35,541,0,1007
16,2018-04-18,Z (Dec 2018),18.22,18.47,17.95,18.04,18.05,-0.175,349,0,1128
17,2018-04-19,Z (Dec 2018),18.15,18.3,18.02,18.08,18.075,0.025,538,0,1331
18,2018-04-20,Z (Dec 2018),18.12,18.3,18.0,18.16,18.2,0.125,841,0,1690
19,2018-04-23,Z (Dec 2018),18.1,18.26,17.92,18.15,18.15,-0.05,498,0,1902
20,2018-04-24,Z (Dec 2018),18.2,18.7,17.9,18.23,18.175,0.025,1092,0,2323
21,2018-04-25,Z (Dec 2018),18.2,18.47,18.15,18.31,18.375,0.2,1248,0,2876
22,2018-04-26,Z (Dec 2018),18.25,18.4,17.95,17.95,17.95,-0.425,383,0,3049
23,2018-04-27,Z (Dec 2018),17.95,18.12,17.91,17.98,18.0,0.05,687,0,3410
24,2018-04-30,Z (Dec 2018),17.95,18.1,17.81,18.07,18.05,0.05,484,0,3607
25,2018-05-01,Z (Dec 2018),18.04,18.12,17.7,17.71,17.7,-0.35,761,0,3885
26,2018-05-02,Z (Dec 2018),17.75,17.95,17.54,17.91,17.95,0.25,453,0,4010
27,2018-05-03,Z (Dec 2018),17.95,18.35,17.79,17.81,17.8,-0.15,729,0,4203
28,2018-05-04,Z (Dec 2018),17.84,18.03,17.58,17.64,17.65,-0.15,360,0,4306
29,2018-05-07,Z (Dec 2018),17.58,17.75,17.56,17.65,17.7,0.05,378,0,4404
30,2018-05-08,Z (Dec 2018),17.7,17.8,17.6,17.65,17.65,-0.05,740,0,4725
31,2018-05-09,Z (Dec 2018),17.6,17.65,17.37,17.38,17.425,-0.225,1128,0,5210
32,2018-05-10,Z (Dec 2018),17.4,17.42,16.95,17.04,17.05,-0.375,505,0,5394
33,2018-05-11,Z (Dec 2018),17.0,17.05,16.83,16.86,16.85,-0.2,351,0,5578
34,2018-05-14,Z (Dec 2018),16.77,16.85,16.55,16.6,16.65,-0.2,1045,0,6063
35,2018-05-15,Z (Dec 2018),16.65,17.12,16.65,17.05,17.125,0.475,1390,0,6671
36,2018-05-16,Z (Dec 2018),17.15,17.15,16.6,16.76,16.825,-0.3,2156,0,7181
37,2018-05-17,Z (Dec 2018),16.75,16.87,16.55,16.66,16.725,-0.1,2502,0,8278
38,2018-05-18,Z (Dec 2018),16.68,16.89,16.58,16.82,16.825,0.1,2064,0,9078
39,2018-05-21,Z (Dec 2018),16.74,16.74,16.4,16.48,16.475,-0.35,1264,0,9261
40,2018-05-22,Z (Dec 2018),16.4,16.7,16.36,16.66,16.675,0.2,2345,0,9940
41,2018-05-23,Z (Dec 2018),16.7,16.96,16.42,16.47,16.475,-0.2,1758,0,10419
42,2018-05-24,Z (Dec 2018),16.5,16.8,16.41,16.48,16.525,0.05,1687,0,10802
