CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/21/2015,U (Sep 16),0.00,20.00,22.00,0.00,21.0000,21.00,0,0,0
12/22/2015,U (Sep 16),0.00,19.15,21.65,0.00,20.3750,-0.62,0,0,0
12/23/2015,U (Sep 16),0.00,17.10,20.50,0.00,18.8000,-1.58,0,0,0
12/24/2015,U (Sep 16),0.00,17.25,20.50,0.00,18.8500,0.05,0,0,0
12/28/2015,U (Sep 16),20.50,20.50,20.50,20.50,19.8250,0.98,1,0,1
12/29/2015,U (Sep 16),0.00,19.00,20.95,0.00,19.9750,0.15,0,0,1
12/30/2015,U (Sep 16),0.00,19.60,20.90,0.00,19.5750,-0.40,0,0,1
12/31/2015,U (Sep 16),0.00,19.00,20.90,0.00,19.9500,0.38,0,0,1
01/04/2016,U (Sep 16),20.95,21.00,20.67,20.67,20.8500,0.90,36,0,16
01/05/2016,U (Sep 16),20.50,20.74,20.43,20.43,20.4500,-0.40,31,0,42
01/06/2016,U (Sep 16),21.00,21.00,20.70,20.70,20.7250,0.28,45,0,85
01/07/2016,U (Sep 16),20.95,21.27,20.90,21.27,21.2250,0.50,31,0,114
01/08/2016,U (Sep 16),21.15,22.85,20.97,22.85,22.8500,1.62,40,0,148
01/11/2016,U (Sep 16),22.53,22.91,22.15,22.18,22.3500,-0.50,118,0,260
01/12/2016,U (Sep 16),21.89,22.22,21.72,21.78,22.5000,0.15,102,0,359
01/13/2016,U (Sep 16),21.48,22.65,21.48,22.64,22.8250,0.32,58,0,380
01/14/2016,U (Sep 16),22.60,22.79,22.21,22.31,22.3750,-0.45,85,0,445
01/15/2016,U (Sep 16),22.77,23.35,22.50,23.30,23.2000,0.82,324,0,726
01/19/2016,U (Sep 16),23.38,23.60,22.44,23.25,23.1500,-0.05,262,0,723
01/20/2016,U (Sep 16),23.65,24.20,23.05,23.40,23.3000,0.15,201,0,744
01/21/2016,U (Sep 16),23.13,23.60,22.98,23.39,23.3250,0.02,130,0,766
01/22/2016,U (Sep 16),23.25,23.25,22.31,22.31,22.3500,-0.98,532,0,954
01/25/2016,U (Sep 16),22.28,22.80,22.11,22.80,22.7750,0.42,871,0,1384
01/26/2016,U (Sep 16),22.80,23.10,22.25,22.28,22.3000,-0.48,373,0,1486
01/27/2016,U (Sep 16),22.30,22.76,22.05,22.67,22.6250,0.32,578,0,1700
01/28/2016,U (Sep 16),22.30,22.70,22.25,22.45,22.3750,-0.25,508,0,1920
01/29/2016,U (Sep 16),22.30,22.35,21.70,21.73,21.7250,-0.65,642,0,2154
02/01/2016,U (Sep 16),21.69,21.90,21.60,21.63,21.6500,-0.08,57,0,2143
02/02/2016,U (Sep 16),21.90,22.25,13.25,22.10,22.1750,0.52,770,0,2299
02/03/2016,U (Sep 16),22.25,22.77,22.02,22.08,22.1000,-0.08,695,0,2611
02/04/2016,U (Sep 16),22.15,22.55,21.85,22.32,22.3500,0.25,511,0,2810
02/05/2016,U (Sep 16),22.35,23.05,22.33,22.71,22.7500,0.40,1221,0,3193
02/08/2016,U (Sep 16),23.15,23.70,22.80,23.10,23.1000,0.35,959,0,3232
02/09/2016,U (Sep 16),23.25,23.79,23.10,23.45,23.4750,0.38,414,0,3242
02/10/2016,U (Sep 16),23.40,23.63,23.03,23.50,23.5000,0.02,789,0,3326
02/11/2016,U (Sep 16),23.59,24.80,23.45,24.25,24.3250,0.82,2151,0,4064
02/12/2016,U (Sep 16),24.33,24.45,24.00,24.25,24.2750,-0.05,444,0,3657
02/16/2016,U (Sep 16),24.03,24.09,23.60,23.82,23.8000,-0.48,862,0,3894
02/17/2016,U (Sep 16),23.86,24.00,23.10,23.30,23.3250,-0.48,1229,0,4579
02/18/2016,U (Sep 16),23.25,23.45,23.03,23.40,23.3750,0.05,1606,0,5008
02/19/2016,U (Sep 16),23.36,23.62,23.05,23.15,23.1750,-0.20,1295,0,5144
02/22/2016,U (Sep 16),23.20,23.20,22.50,22.60,22.5500,-0.62,1777,0,5973
02/23/2016,U (Sep 16),22.55,23.03,22.50,22.98,22.9750,0.42,1486,0,6094
02/24/2016,U (Sep 16),22.97,23.45,22.72,22.80,22.7750,-0.20,2163,0,6360
02/25/2016,U (Sep 16),22.77,22.95,22.45,22.45,22.4750,-0.30,962,0,6554
02/26/2016,U (Sep 16),22.49,22.83,22.20,22.70,22.6750,0.20,1690,0,6923
02/29/2016,U (Sep 16),22.68,22.97,22.40,22.90,22.8750,0.20,1572,0,7168
03/01/2016,U (Sep 16),22.85,23.00,21.80,21.80,21.8250,-1.05,1462,0,7794
03/02/2016,U (Sep 16),21.90,22.02,21.60,21.75,21.7000,-0.12,1218,0,7959
03/03/2016,U (Sep 16),21.70,21.75,21.13,21.25,21.2250,-0.48,1701,0,8426
03/04/2016,U (Sep 16),21.16,21.55,20.95,21.55,21.5250,0.30,1634,0,8093
03/07/2016,U (Sep 16),21.32,21.68,21.25,21.40,21.3750,-0.15,1287,0,8457
03/08/2016,U (Sep 16),21.45,21.88,21.35,21.85,21.8750,0.50,2036,0,9324
03/09/2016,U (Sep 16),21.80,21.95,21.63,21.70,21.6750,-0.20,1488,0,9753
03/10/2016,U (Sep 16),21.63,22.09,21.30,21.60,21.5750,-0.10,2101,0,10088
03/11/2016,U (Sep 16),21.56,21.56,21.10,21.20,21.1750,-0.40,1487,0,10568
03/14/2016,U (Sep 16),21.20,21.30,20.82,21.00,20.9750,-0.20,1141,0,10676
03/15/2016,U (Sep 16),20.94,21.29,20.94,21.27,21.2750,0.30,2367,0,11391
03/16/2016,U (Sep 16),21.24,21.45,20.75,20.90,20.9250,-0.35,3227,0,11854
03/17/2016,U (Sep 16),20.91,21.18,20.50,20.67,20.6500,-0.28,4446,0,12845
03/18/2016,U (Sep 16),20.63,20.80,20.43,20.72,20.7000,0.05,2724,0,13807
03/21/2016,U (Sep 16),20.70,20.77,20.38,20.42,20.4000,-0.30,2234,0,13651
03/22/2016,U (Sep 16),20.38,20.65,20.33,20.38,20.3750,-0.02,1492,0,13650
03/23/2016,U (Sep 16),20.41,20.95,20.37,20.95,20.9250,0.55,3168,0,14247
03/24/2016,U (Sep 16),20.90,21.32,20.75,20.75,20.7750,-0.15,3380,0,14849
03/28/2016,U (Sep 16),20.75,21.00,20.59,20.65,20.6750,-0.10,1825,0,14682
03/29/2016,U (Sep 16),20.68,20.90,20.05,20.10,20.0750,-0.60,2769,0,14911
03/30/2016,U (Sep 16),20.07,20.10,19.65,19.79,19.7750,-0.30,3991,0,15673
03/31/2016,U (Sep 16),19.80,20.00,19.70,19.84,19.8250,0.05,1995,0,15723
04/01/2016,U (Sep 16),19.86,20.20,19.47,19.50,19.4750,-0.35,2553,0,16061
04/04/2016,U (Sep 16),19.50,19.80,19.35,19.75,19.7750,0.30,1682,0,16138
04/05/2016,U (Sep 16),19.76,20.39,19.75,20.20,20.2250,0.45,2960,0,16525
04/06/2016,U (Sep 16),20.25,20.37,19.74,19.75,19.7250,-0.50,2366,0,16653
04/07/2016,U (Sep 16),19.75,20.85,19.66,20.60,20.6750,0.95,4163,0,17100
04/08/2016,U (Sep 16),20.63,20.72,20.22,20.50,20.5000,-0.18,4240,0,17032
04/11/2016,U (Sep 16),20.50,20.85,20.25,20.85,20.8250,0.32,3237,0,17528
04/12/2016,U (Sep 16),20.85,21.10,20.38,20.55,20.5750,-0.25,3739,0,17872
