CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/21/2017,X (Nov 17),0.00,17.95,18.40,0.00,18.2000,18.20,0,0,0
02/22/2017,X (Nov 17),18.30,18.35,18.24,18.24,18.2000,0.00,9,0,7
02/23/2017,X (Nov 17),18.40,18.50,18.30,18.35,18.3500,0.15,16,0,20
02/24/2017,X (Nov 17),18.50,18.55,18.40,18.50,18.4500,0.10,9,0,24
02/27/2017,X (Nov 17),18.40,18.40,18.20,18.30,18.1750,-0.28,3,0,25
02/28/2017,X (Nov 17),18.27,18.27,18.15,18.25,18.2000,0.02,10,0,32
03/01/2017,X (Nov 17),18.00,18.10,17.95,18.10,18.0750,-0.12,13,0,41
03/02/2017,X (Nov 17),18.12,18.20,18.12,18.20,18.2250,0.15,10,0,45
03/03/2017,X (Nov 17),18.13,18.13,18.05,18.05,18.0250,-0.20,4,0,45
03/06/2017,X (Nov 17),18.05,18.06,17.98,17.98,17.9500,-0.08,3,0,47
03/07/2017,X (Nov 17),17.85,17.95,17.85,17.95,17.9750,0.02,4,0,48
03/08/2017,X (Nov 17),17.85,17.95,17.65,17.95,17.9250,-0.05,32,0,69
03/09/2017,X (Nov 17),17.93,18.00,17.85,18.00,17.9500,0.02,7,0,72
03/10/2017,X (Nov 17),17.90,18.01,17.87,18.01,17.9250,-0.02,11,0,76
03/13/2017,X (Nov 17),17.90,17.90,17.84,17.84,17.8500,-0.08,21,0,92
03/14/2017,X (Nov 17),17.85,18.01,17.85,17.95,17.9500,0.10,10,0,95
03/15/2017,X (Nov 17),17.85,17.90,17.80,17.82,17.8250,-0.12,17,0,109
03/16/2017,X (Nov 17),17.90,17.90,17.70,17.70,17.6250,-0.20,7,0,107
03/17/2017,X (Nov 17),17.58,17.60,17.54,17.55,17.5500,-0.08,35,0,128
03/20/2017,X (Nov 17),17.65,17.65,17.55,17.60,17.5500,0.00,40,0,153
03/21/2017,X (Nov 17),17.55,17.85,17.46,17.80,17.8250,0.28,42,0,174
03/22/2017,X (Nov 17),17.85,17.95,17.72,17.83,17.8250,0.00,442,0,390
03/23/2017,X (Nov 17),17.85,18.00,17.70,17.94,17.9500,0.12,282,0,523
03/24/2017,X (Nov 17),17.96,18.01,17.69,17.70,17.7000,-0.25,629,0,846
03/27/2017,X (Nov 17),17.95,17.95,17.45,17.50,17.4500,-0.25,281,0,944
03/28/2017,X (Nov 17),17.45,17.48,17.25,17.29,17.2500,-0.20,1121,0,1494
03/29/2017,X (Nov 17),17.25,17.25,17.08,17.10,17.1250,-0.12,358,0,1548
03/30/2017,X (Nov 17),17.05,17.15,16.99,17.00,17.0000,-0.12,524,0,1790
03/31/2017,X (Nov 17),17.10,17.10,16.93,17.03,17.0500,0.05,318,0,1880
04/03/2017,X (Nov 17),17.04,17.14,16.95,17.05,17.0500,0.00,499,0,2110
04/04/2017,X (Nov 17),17.12,17.17,16.78,16.82,16.8000,-0.25,659,0,2368
04/05/2017,X (Nov 17),16.70,17.00,16.55,17.00,17.0250,0.22,281,0,2534
04/06/2017,X (Nov 17),17.04,17.04,16.69,16.78,16.7750,-0.25,286,0,2665
04/07/2017,X (Nov 17),16.76,16.99,16.75,16.95,16.9750,0.20,462,0,2838
04/10/2017,X (Nov 17),17.00,17.15,16.93,17.07,17.1000,0.12,169,0,2892
04/11/2017,X (Nov 17),17.20,17.40,17.07,17.15,17.1250,0.02,1461,0,3740
04/12/2017,X (Nov 17),17.15,17.32,17.05,17.18,17.1750,0.05,642,0,4056
04/13/2017,X (Nov 17),17.20,17.34,17.00,17.34,17.3000,0.12,1023,0,4639
04/17/2017,X (Nov 17),17.29,17.35,16.85,16.85,16.9000,-0.40,413,0,4761
04/18/2017,X (Nov 17),16.86,17.04,16.78,16.89,16.8750,-0.02,850,0,4916
04/19/2017,X (Nov 17),16.88,17.20,16.62,16.87,16.8750,0.00,4688,0,6183
04/20/2017,X (Nov 17),16.90,16.92,16.66,16.87,16.8750,0.00,1475,0,6357
04/21/2017,X (Nov 17),16.87,16.90,16.65,16.70,16.7250,-0.15,2700,0,7128
04/24/2017,X (Nov 17),16.60,16.60,16.30,16.38,16.3750,-0.35,2639,0,7673
