CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
03/21/2016,Z (Dec 16),0.00,17.00,20.75,0.00,18.8750,18.88,0,0,0
03/22/2016,Z (Dec 16),0.00,19.55,23.95,0.00,21.7500,2.88,0,0,0
03/23/2016,Z (Dec 16),20.75,21.05,20.75,21.05,20.6750,-1.08,3,0,3
03/24/2016,Z (Dec 16),21.08,21.14,21.04,21.04,21.1000,0.42,4,0,4
03/28/2016,Z (Dec 16),20.90,21.00,20.90,21.00,20.6000,-0.50,4,0,5
03/29/2016,Z (Dec 16),20.95,20.96,20.37,20.40,20.2750,-0.32,27,0,25
03/30/2016,Z (Dec 16),20.30,20.40,20.08,20.08,20.1250,-0.15,117,0,119
03/31/2016,Z (Dec 16),20.12,20.20,20.08,20.15,20.1500,0.02,71,0,176
04/01/2016,Z (Dec 16),20.45,20.45,19.90,19.95,19.9000,-0.25,38,0,211
04/04/2016,Z (Dec 16),19.85,20.05,19.85,20.05,20.0250,0.12,38,0,236
04/05/2016,Z (Dec 16),20.20,20.48,20.20,20.40,20.4750,0.45,78,0,306
04/06/2016,Z (Dec 16),20.30,20.40,20.00,20.02,20.0500,-0.42,31,0,324
04/07/2016,Z (Dec 16),20.25,20.95,20.25,20.75,20.7250,0.68,94,0,414
04/08/2016,Z (Dec 16),20.74,20.74,20.40,20.70,20.5250,-0.20,90,0,495
04/11/2016,Z (Dec 16),20.71,20.75,20.54,20.75,20.8250,0.30,138,0,628
04/12/2016,Z (Dec 16),20.84,21.05,20.48,20.48,20.5000,-0.32,35,0,655
04/13/2016,Z (Dec 16),20.35,20.45,20.20,20.34,20.4000,-0.10,26,0,660
04/14/2016,Z (Dec 16),20.20,20.40,20.15,20.30,20.2750,-0.12,45,0,681
04/15/2016,Z (Dec 16),20.35,20.35,20.25,20.26,20.2250,-0.05,5,0,683
04/18/2016,Z (Dec 16),20.40,20.45,19.60,19.62,19.6750,-0.55,64,0,691
04/19/2016,Z (Dec 16),19.60,20.03,19.55,19.95,19.9000,0.22,74,0,722
04/20/2016,Z (Dec 16),19.89,20.09,19.75,20.00,20.0250,0.12,305,0,926
04/21/2016,Z (Dec 16),20.05,20.40,19.95,20.40,20.4250,0.40,303,0,1091
04/22/2016,Z (Dec 16),20.40,20.50,20.23,20.24,20.2500,-0.18,107,0,1138
04/25/2016,Z (Dec 16),20.40,20.55,20.20,20.35,20.3250,0.08,81,0,1167
04/26/2016,Z (Dec 16),20.30,20.40,20.25,20.25,20.3000,-0.02,83,0,1196
04/27/2016,Z (Dec 16),20.35,20.45,19.94,20.00,19.9500,-0.35,126,0,1275
04/28/2016,Z (Dec 16),19.95,20.45,19.83,20.40,20.4000,0.45,487,0,1587
04/29/2016,Z (Dec 16),20.40,21.10,20.35,20.74,20.7250,0.32,467,0,1712
05/02/2016,Z (Dec 16),20.80,20.90,20.33,20.35,20.3250,-0.40,249,0,1790
05/03/2016,Z (Dec 16),20.40,20.85,20.35,20.75,20.7750,0.45,216,0,1829
05/04/2016,Z (Dec 16),20.90,21.15,20.75,20.95,20.9500,0.18,353,0,1946
