CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
03/27/2017,Z (Dec 17),17.50,17.50,17.50,17.50,17.5000,17.50,1,0,1
03/28/2017,Z (Dec 17),17.55,17.55,17.38,17.39,17.5000,0.00,470,0,398
03/29/2017,Z (Dec 17),17.35,17.36,17.21,17.24,17.2750,-0.22,121,0,388
03/30/2017,Z (Dec 17),17.20,17.24,17.10,17.17,17.1500,-0.12,61,0,407
03/31/2017,Z (Dec 17),17.20,17.20,17.10,17.17,17.2000,0.05,106,0,489
04/03/2017,Z (Dec 17),17.17,17.20,17.10,17.15,17.1500,-0.05,187,0,659
04/04/2017,Z (Dec 17),17.25,17.25,16.88,16.91,16.9000,-0.25,164,0,790
04/05/2017,Z (Dec 17),16.73,17.00,16.67,16.98,16.9000,0.00,41,0,827
04/06/2017,Z (Dec 17),17.10,17.10,16.81,16.86,16.8500,-0.05,115,0,926
04/07/2017,Z (Dec 17),17.10,17.10,16.85,17.02,17.0000,0.15,71,0,959
04/10/2017,Z (Dec 17),17.04,17.25,17.04,17.16,17.1750,0.18,42,0,986
04/11/2017,Z (Dec 17),17.25,17.46,17.17,17.25,17.2000,0.02,134,0,1093
04/12/2017,Z (Dec 17),17.25,17.39,17.19,17.19,17.2250,0.02,121,0,1157
04/13/2017,Z (Dec 17),17.20,17.33,17.10,17.33,17.2750,0.05,63,0,1204
04/17/2017,Z (Dec 17),17.34,17.40,16.95,16.95,17.0000,-0.28,145,0,1312
04/18/2017,Z (Dec 17),17.00,17.11,16.86,16.97,16.9250,-0.08,173,0,1410
04/19/2017,Z (Dec 17),16.94,17.22,16.70,16.95,16.9250,0.00,554,0,1729
04/20/2017,Z (Dec 17),16.97,17.00,16.74,16.90,16.9000,-0.02,165,0,1810
04/21/2017,Z (Dec 17),16.94,16.95,16.75,16.75,16.7500,-0.15,1114,0,2720
04/24/2017,Z (Dec 17),16.70,16.70,16.45,16.45,16.4750,-0.28,316,0,2663
04/25/2017,Z (Dec 17),16.35,16.40,16.13,16.18,16.1500,-0.32,255,0,2751
04/26/2017,Z (Dec 17),16.20,16.29,16.15,16.25,16.2250,0.08,251,0,2907
04/27/2017,Z (Dec 17),16.21,16.30,16.19,16.25,16.2500,0.02,440,0,3174
04/28/2017,Z (Dec 17),16.28,16.35,16.20,16.21,16.2000,-0.05,325,0,3339
05/01/2017,Z (Dec 17),16.15,16.20,15.80,15.87,15.8500,-0.35,300,0,3324
05/02/2017,Z (Dec 17),15.84,15.97,15.84,15.92,15.9250,0.08,116,0,3381
05/03/2017,Z (Dec 17),15.92,16.07,15.90,16.05,16.0500,0.12,377,0,3598
05/04/2017,Z (Dec 17),16.10,16.10,15.93,15.95,15.9500,-0.10,215,0,3667
05/05/2017,Z (Dec 17),15.99,16.12,15.91,16.11,16.1000,0.15,445,0,3933
05/08/2017,Z (Dec 17),16.05,16.24,16.05,16.20,16.2000,0.10,931,0,4689
05/09/2017,Z (Dec 17),16.20,16.29,16.10,16.19,16.2000,0.00,526,0,4898
05/10/2017,Z (Dec 17),16.15,16.38,16.15,16.33,16.3000,0.10,567,0,5143
05/11/2017,Z (Dec 17),16.30,16.56,16.27,16.30,16.3000,0.00,770,0,5466
05/12/2017,Z (Dec 17),16.35,16.39,16.20,16.39,16.3750,0.08,559,0,5826
